t,host_monotonic_s,coordinate_frame,right_frame_counter,right_receive_monotonic_s,right_age_s,right_controller_valid,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_quat_w,right_controller_quat_x,right_controller_quat_y,right_controller_quat_z,right_tcp_valid,right_tcp_pos_x,right_tcp_pos_y,right_tcp_pos_z,right_tcp_quat_w,right_tcp_quat_x,right_tcp_quat_y,right_tcp_quat_z,left_frame_counter,left_receive_monotonic_s,left_age_s,left_controller_valid,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_quat_w,left_controller_quat_x,left_controller_quat_y,left_controller_quat_z,left_tcp_valid,left_tcp_pos_x,left_tcp_pos_y,left_tcp_pos_z,left_tcp_quat_w,left_tcp_quat_x,left_tcp_quat_y,left_tcp_quat_z
0.000000000,103564.217865833,vr_world,31762,103564.216271625,0.001594833,1,0.207966000,-0.221959000,-0.401298000,0.013488435,-0.235882411,0.966984014,-0.095495900,1,0.384583590,-0.291064685,-0.422607163,0.013488435,-0.235882411,0.966984014,-0.095495900,31845,103564.216271625,0.001594833,1,0.325263000,0.121651000,-0.426723000,0.094820069,-0.840470891,0.533492056,-0.002015269,1,0.503666847,0.065838664,-0.461266472,0.094820069,-0.840470891,0.533492056,-0.002015269
0.011546125,103564.229411958,vr_world,31762,103564.216271625,0.013140833,1,0.207966000,-0.221959000,-0.401298000,0.013488435,-0.235882411,0.966984014,-0.095495900,1,0.384583590,-0.291064685,-0.422607163,0.013488435,-0.235882411,0.966984014,-0.095495900,31845,103564.216271625,0.013140833,1,0.325263000,0.121651000,-0.426723000,0.094820069,-0.840470891,0.533492056,-0.002015269,1,0.503666847,0.065838664,-0.461266472,0.094820069,-0.840470891,0.533492056,-0.002015269
0.022210792,103564.240076625,vr_world,31763,103564.237697458,0.002379750,1,0.207772000,-0.222447000,-0.401467000,0.016202646,-0.241529280,0.965550604,-0.095462627,1,0.385301713,-0.289387836,-0.422095989,0.016202646,-0.241529280,0.965550604,-0.095462627,31846,103564.237697458,0.002379750,1,0.325316000,0.121953000,-0.426764000,0.094824863,-0.839901045,0.534387667,-0.002073965,1,0.503598653,0.065763597,-0.461321933,0.094824863,-0.839901045,0.534387667,-0.002073965
0.033934333,103564.251800166,vr_world,31763,103564.237697458,0.014103292,1,0.207772000,-0.222447000,-0.401467000,0.016202646,-0.241529280,0.965550604,-0.095462627,1,0.385301713,-0.289387836,-0.422095989,0.016202646,-0.241529280,0.965550604,-0.095462627,31846,103564.237697458,0.014103292,1,0.325316000,0.121953000,-0.426764000,0.094824863,-0.839901045,0.534387667,-0.002073965,1,0.503598653,0.065763597,-0.461321933,0.094824863,-0.839901045,0.534387667,-0.002073965
0.046213708,103564.264079541,vr_world,31764,103564.259196166,0.004883709,1,0.208094000,-0.222086000,-0.401390000,0.012675238,-0.246664107,0.964382326,-0.094672517,1,0.386099789,-0.287291065,-0.423427864,0.012675238,-0.246664107,0.964382326,-0.094672517,31847,103564.259196166,0.004883709,1,0.325362000,0.122070000,-0.426779000,0.094646709,-0.839825931,0.534536138,-0.002350219,1,0.503631678,0.065792432,-0.461260654,0.094646709,-0.839825931,0.534536138,-0.002350219
0.058590667,103564.276456500,vr_world,31764,103564.259196166,0.017260875,1,0.208094000,-0.222086000,-0.401390000,0.012675238,-0.246664107,0.964382326,-0.094672517,1,0.386099789,-0.287291065,-0.423427864,0.012675238,-0.246664107,0.964382326,-0.094672517,31847,103564.259196166,0.017260875,1,0.325362000,0.122070000,-0.426779000,0.094646709,-0.839825931,0.534536138,-0.002350219,1,0.503631678,0.065792432,-0.461260654,0.094646709,-0.839825931,0.534536138,-0.002350219
0.071006667,103564.288872500,vr_world,31765,103564.280709333,0.008163708,1,0.208415000,-0.220662000,-0.401727000,0.011307259,-0.234380271,0.966929633,-0.099925566,1,0.384756307,-0.290572747,-0.422696026,0.011307259,-0.234380271,0.966929633,-0.099925566,31848,103564.280709333,0.008163708,1,0.325354000,0.122061000,-0.426728000,0.094366653,-0.839859607,0.534533020,-0.002285888,1,0.503612627,0.065778622,-0.461259236,0.094366653,-0.839859607,0.534533020,-0.002285888
0.083415667,103564.301281500,vr_world,31765,103564.280709333,0.020572667,1,0.208415000,-0.220662000,-0.401727000,0.011307259,-0.234380271,0.966929633,-0.099925566,1,0.384756307,-0.290572747,-0.422696026,0.011307259,-0.234380271,0.966929633,-0.099925566,31848,103564.280709333,0.020572667,1,0.325354000,0.122061000,-0.426728000,0.094366653,-0.839859607,0.534533020,-0.002285888,1,0.503612627,0.065778622,-0.461259236,0.094366653,-0.839859607,0.534533020,-0.002285888
0.094210208,103564.312076041,vr_world,31766,103564.302026500,0.010050083,1,0.208039000,-0.222133000,-0.401643000,0.012695792,-0.240594748,0.965668423,-0.097146700,1,0.385273616,-0.289635138,-0.422969077,0.012695792,-0.240594748,0.965668423,-0.097146700,31849,103564.302026500,0.010050083,1,0.325355000,0.122144000,-0.426702000,0.094433482,-0.839580408,0.534959193,-0.002391046,1,0.503561112,0.065679244,-0.461206176,0.094433482,-0.839580408,0.534959193,-0.002391046
0.106616333,103564.324482166,vr_world,31767,103564.323143208,0.001339250,1,0.208042000,-0.221751000,-0.401805000,0.014052313,-0.238603129,0.966122217,-0.097359850,1,0.385083553,-0.289919413,-0.422608045,0.014052313,-0.238603129,0.966122217,-0.097359850,31850,103564.323143208,0.001339250,1,0.325408000,0.122250000,-0.426754000,0.094871005,-0.839355316,0.535234177,-0.002553834,1,0.503596609,0.065675749,-0.461169155,0.094871005,-0.839355316,0.535234177,-0.002553834
