t,host_monotonic_s,coordinate_frame,right_frame_counter,right_receive_monotonic_s,right_age_s,right_controller_valid,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_quat_w,right_controller_quat_x,right_controller_quat_y,right_controller_quat_z,right_tcp_valid,right_tcp_pos_x,right_tcp_pos_y,right_tcp_pos_z,right_tcp_quat_w,right_tcp_quat_x,right_tcp_quat_y,right_tcp_quat_z,left_frame_counter,left_receive_monotonic_s,left_age_s,left_controller_valid,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_quat_w,left_controller_quat_x,left_controller_quat_y,left_controller_quat_z,left_tcp_valid,left_tcp_pos_x,left_tcp_pos_y,left_tcp_pos_z,left_tcp_quat_w,left_tcp_quat_x,left_tcp_quat_y,left_tcp_quat_z
0.000000000,103718.181318208,vr_world,38801,103718.165481000,0.015837541,1,0.176541000,-0.232238000,-0.407545000,0.017720646,-0.246865445,0.963960294,-0.097590892,1,0.354876395,-0.297247216,-0.427387342,0.017720646,-0.246865445,0.963960294,-0.097590892,38884,103718.165481000,0.015837541,1,0.337931000,0.164665000,-0.416436000,0.091432592,-0.730843880,0.675673123,0.031195125,1,0.482843260,0.053639887,-0.469446571,0.091432592,-0.730843880,0.675673123,0.031195125
0.010394583,103718.191712791,vr_world,38802,103718.187997458,0.003715625,1,0.176587000,-0.232195000,-0.407606000,0.017738170,-0.246898407,0.963908552,-0.098014479,1,0.354932185,-0.297206718,-0.427352614,0.017738170,-0.246898407,0.963908552,-0.098014479,38885,103718.187997458,0.003715625,1,0.339564000,0.163028000,-0.414767000,0.088914729,-0.731457883,0.674846144,0.040573631,1,0.483982093,0.053057540,-0.471212712,0.088914729,-0.731457883,0.674846144,0.040573631
0.022749250,103718.204067458,vr_world,38802,103718.187997458,0.016070292,1,0.176587000,-0.232195000,-0.407606000,0.017738170,-0.246898407,0.963908552,-0.098014479,1,0.354932185,-0.297206718,-0.427352614,0.017738170,-0.246898407,0.963908552,-0.098014479,38885,103718.187997458,0.016070292,1,0.339564000,0.163028000,-0.414767000,0.088914729,-0.731457883,0.674846144,0.040573631,1,0.483982093,0.053057540,-0.471212712,0.088914729,-0.731457883,0.674846144,0.040573631
0.035119167,103718.216437375,vr_world,38803,103718.210931833,0.005505792,1,0.176889000,-0.232211000,-0.407570000,0.017236695,-0.246689581,0.963969740,-0.098027990,1,0.355181250,-0.297322409,-0.427464402,0.017236695,-0.246689581,0.963969740,-0.098027990,38886,103718.210931833,0.005505792,1,0.341812000,0.162033000,-0.413395000,0.088932407,-0.730362576,0.675368348,0.050389769,1,0.485330147,0.052772664,-0.473402841,0.088932407,-0.730362576,0.675368348,0.050389769
0.047516292,103718.228834500,vr_world,38803,103718.210931833,0.017903083,1,0.176889000,-0.232211000,-0.407570000,0.017236695,-0.246689581,0.963969740,-0.098027990,1,0.355181250,-0.297322409,-0.427464402,0.017236695,-0.246689581,0.963969740,-0.098027990,38886,103718.210931833,0.017903083,1,0.341812000,0.162033000,-0.413395000,0.088932407,-0.730362576,0.675368348,0.050389769,1,0.485330147,0.052772664,-0.473402841,0.088932407,-0.730362576,0.675368348,0.050389769
0.059911333,103718.241229541,vr_world,38804,103718.233403833,0.007826042,1,0.178314000,-0.232711000,-0.406699000,0.013242623,-0.247420554,0.964036667,-0.096130155,1,0.356467165,-0.297670331,-0.428267589,0.013242623,-0.247420554,0.964036667,-0.096130155,38887,103718.233403833,0.007826042,1,0.343717000,0.161487000,-0.411769000,0.083249013,-0.728728009,0.677456262,0.055480657,1,0.485865557,0.051604712,-0.473864759,0.083249013,-0.728728009,0.677456262,0.055480657
0.070972250,103718.252290458,vr_world,38804,103718.233403833,0.018887083,1,0.178314000,-0.232711000,-0.406699000,0.013242623,-0.247420554,0.964036667,-0.096130155,1,0.356467165,-0.297670331,-0.428267589,0.013242623,-0.247420554,0.964036667,-0.096130155,38887,103718.233403833,0.018887083,1,0.343717000,0.161487000,-0.411769000,0.083249013,-0.728728009,0.677456262,0.055480657,1,0.485865557,0.051604712,-0.473864759,0.083249013,-0.728728009,0.677456262,0.055480657
0.083294833,103718.264613041,vr_world,38805,103718.255699916,0.008913459,1,0.179262000,-0.232861000,-0.406147000,0.009616153,-0.247118194,0.964369463,-0.093976945,1,0.357145676,-0.298013085,-0.429299214,0.009616153,-0.247118194,0.964369463,-0.093976945,38888,103718.255699916,0.008913459,1,0.347235000,0.160434000,-0.409211000,0.070940300,-0.722644264,0.683914282,0.070809575,1,0.485206257,0.048830901,-0.477364440,0.070940300,-0.722644264,0.683914282,0.070809575
0.095694708,103718.277012916,vr_world,38805,103718.255699916,0.021313292,1,0.179262000,-0.232861000,-0.406147000,0.009616153,-0.247118194,0.964369463,-0.093976945,1,0.357145676,-0.298013085,-0.429299214,0.009616153,-0.247118194,0.964369463,-0.093976945,38888,103718.255699916,0.021313292,1,0.347235000,0.160434000,-0.409211000,0.070940300,-0.722644264,0.683914282,0.070809575,1,0.485206257,0.048830901,-0.477364440,0.070940300,-0.722644264,0.683914282,0.070809575
0.108100208,103718.289418416,vr_world,38806,103718.278002958,0.011415667,1,0.180105000,-0.233297000,-0.405648000,0.008107906,-0.247639598,0.964355126,-0.092887468,1,0.357954238,-0.298284088,-0.429518157,0.008107906,-0.247639598,0.964355126,-0.092887468,38889,103718.278002958,0.011415667,1,0.350321000,0.159526000,-0.406437000,0.056499300,-0.719215542,0.687480619,0.083109751,1,0.484894918,0.046810894,-0.479384815,0.056499300,-0.719215542,0.687480619,0.083109751
