t,host_monotonic_s,coordinate_frame,right_frame_counter,right_receive_monotonic_s,right_age_s,right_controller_valid,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_quat_w,right_controller_quat_x,right_controller_quat_y,right_controller_quat_z,right_tcp_valid,right_tcp_pos_x,right_tcp_pos_y,right_tcp_pos_z,right_tcp_quat_w,right_tcp_quat_x,right_tcp_quat_y,right_tcp_quat_z,left_frame_counter,left_receive_monotonic_s,left_age_s,left_controller_valid,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_quat_w,left_controller_quat_x,left_controller_quat_y,left_controller_quat_z,left_tcp_valid,left_tcp_pos_x,left_tcp_pos_y,left_tcp_pos_z,left_tcp_quat_w,left_tcp_quat_x,left_tcp_quat_y,left_tcp_quat_z
0.000000000,104603.726831500,vr_world,9530,104603.712940625,0.013891208,1,0.071239800,-0.227762000,-0.530031000,0.138181519,0.709950197,-0.688582784,-0.052252607,1,0.184515919,-0.106995705,-0.624938737,0.138181519,0.709950197,-0.688582784,-0.052252607,9530,104603.712940625,0.013891208,1,0.050525000,0.182876000,-0.563014000,0.061669513,0.739284577,-0.658954560,-0.124233945,1,0.177954521,0.073379263,-0.651943285,0.061669513,0.739284577,-0.658954560,-0.124233945
0.012374541,104603.739206041,vr_world,9531,104603.732288583,0.006917792,1,0.070378800,-0.227310000,-0.530256000,0.139337623,0.707167208,-0.691348503,-0.050366800,1,0.184658226,-0.107857581,-0.625622523,0.139337623,0.707167208,-0.691348503,-0.050366800,9531,104603.732288583,0.006917792,1,0.050646800,0.182617000,-0.562962000,0.061221694,0.739177908,-0.659152522,-0.124039823,1,0.178096996,0.073084468,-0.651817380,0.061221694,0.739177908,-0.659152522,-0.124039823
0.024202333,104603.751033833,vr_world,9531,104603.732288583,0.018745792,1,0.070378800,-0.227310000,-0.530256000,0.139337623,0.707167208,-0.691348503,-0.050366800,1,0.184658226,-0.107857581,-0.625622523,0.139337623,0.707167208,-0.691348503,-0.050366800,9531,104603.732288583,0.018745792,1,0.050646800,0.182617000,-0.562962000,0.061221694,0.739177908,-0.659152522,-0.124039823,1,0.178096996,0.073084468,-0.651817380,0.061221694,0.739177908,-0.659152522,-0.124039823
0.036597166,104603.763428666,vr_world,9532,104603.752366416,0.011062834,1,0.070083200,-0.226992000,-0.530984000,0.138771013,0.706163358,-0.692729617,-0.046921157,1,0.185219040,-0.108236797,-0.626190993,0.138771013,0.706163358,-0.692729617,-0.046921157,9532,104603.752366416,0.011062834,1,0.050899800,0.182295000,-0.562773000,0.060589548,0.739052711,-0.659253643,-0.124557745,1,0.178295889,0.072834559,-0.651794841,0.060589548,0.739052711,-0.659253643,-0.124557745
0.049003125,104603.775834625,vr_world,9533,104603.771972708,0.003862250,1,0.068363500,-0.226883000,-0.531442000,0.139611735,0.705237634,-0.693827479,-0.041855374,1,0.184250773,-0.109100206,-0.626945084,0.139611735,0.705237634,-0.693827479,-0.041855374,9533,104603.771972708,0.003862250,1,0.051326900,0.181878000,-0.562492000,0.060015045,0.738433700,-0.659815594,-0.125527875,1,0.178446026,0.072345452,-0.651820329,0.060015045,0.738433700,-0.659815594,-0.125527875
0.061417833,104603.788249333,vr_world,9533,104603.771972708,0.016277167,1,0.068363500,-0.226883000,-0.531442000,0.139611735,0.705237634,-0.693827479,-0.041855374,1,0.184250773,-0.109100206,-0.626945084,0.139611735,0.705237634,-0.693827479,-0.041855374,9533,104603.771972708,0.016277167,1,0.051326900,0.181878000,-0.562492000,0.060015045,0.738433700,-0.659815594,-0.125527875,1,0.178446026,0.072345452,-0.651820329,0.060015045,0.738433700,-0.659815594,-0.125527875
0.073835000,104603.800666500,vr_world,9534,104603.791719750,0.008947291,1,0.067043800,-0.227078000,-0.531889000,0.134806576,0.704429753,-0.695904477,-0.036371268,1,0.184687056,-0.109753163,-0.625795146,0.134806576,0.704429753,-0.695904477,-0.036371268,9534,104603.791719750,0.008947291,1,0.051564900,0.181802000,-0.562326000,0.059731539,0.738062310,-0.660169839,-0.125983937,1,0.178528059,0.072204080,-0.651796003,0.059731539,0.738062310,-0.660169839,-0.125983937
0.084358833,104603.811190333,vr_world,9534,104603.791719750,0.019471041,1,0.067043800,-0.227078000,-0.531889000,0.134806576,0.704429753,-0.695904477,-0.036371268,1,0.184687056,-0.109753163,-0.625795146,0.134806576,0.704429753,-0.695904477,-0.036371268,9534,104603.791719750,0.019471041,1,0.051564900,0.181802000,-0.562326000,0.059731539,0.738062310,-0.660169839,-0.125983937,1,0.178528059,0.072204080,-0.651796003,0.059731539,0.738062310,-0.660169839,-0.125983937
0.096729583,104603.823561083,vr_world,9535,104603.811756083,0.011805333,1,0.067360700,-0.227085000,-0.533298000,0.126992782,0.705443678,-0.696509576,-0.033112851,1,0.186355557,-0.109036755,-0.624557287,0.126992782,0.705443678,-0.696509576,-0.033112851,9535,104603.811756083,0.011805333,1,0.051756500,0.181723000,-0.562092000,0.059745523,0.737852022,-0.660323842,-0.126401305,1,0.178599251,0.072096739,-0.651698022,0.059745523,0.737852022,-0.660323842,-0.126401305
0.109141583,104603.835973083,vr_world,9536,104603.831131291,0.004842125,1,0.069201800,-0.227340000,-0.532920000,0.131132881,0.707251835,-0.693523964,-0.040292919,1,0.186061695,-0.108237557,-0.625558106,0.131132881,0.707251835,-0.693523964,-0.040292919,9536,104603.831131291,0.004842125,1,0.051801700,0.181714000,-0.562071000,0.059814061,0.737980815,-0.660220147,-0.126158442,1,0.178710601,0.072100552,-0.651598825,0.059814061,0.737980815,-0.660220147,-0.126158442
