t,host_monotonic_s,coordinate_frame,right_frame_counter,right_receive_monotonic_s,right_age_s,right_controller_valid,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_quat_w,right_controller_quat_x,right_controller_quat_y,right_controller_quat_z,right_tcp_valid,right_tcp_pos_x,right_tcp_pos_y,right_tcp_pos_z,right_tcp_quat_w,right_tcp_quat_x,right_tcp_quat_y,right_tcp_quat_z,left_frame_counter,left_receive_monotonic_s,left_age_s,left_controller_valid,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_quat_w,left_controller_quat_x,left_controller_quat_y,left_controller_quat_z,left_tcp_valid,left_tcp_pos_x,left_tcp_pos_y,left_tcp_pos_z,left_tcp_quat_w,left_tcp_quat_x,left_tcp_quat_y,left_tcp_quat_z
0.000000000,104204.878761666,vr_world,57862,104204.869261291,0.009500875,1,0.193664000,-0.328614000,-0.471835000,0.001160916,-0.449220391,0.891838973,-0.053131341,1,0.379968238,-0.312713294,-0.510062186,0.001160916,-0.449220391,0.891838973,-0.053131341,57940,104204.869261291,0.009500875,1,0.088907000,0.185651000,-0.466848000,0.037843920,-0.885019173,0.457477340,0.077610459,1,0.265688937,0.162915462,-0.532934799,0.037843920,-0.885019173,0.457477340,0.077610459
0.012383125,104204.891144791,vr_world,57863,104204.887403625,0.003741833,1,0.192097000,-0.329145000,-0.472244000,0.005750746,-0.455449332,0.888497935,-0.055715836,1,0.378517457,-0.310556431,-0.508649318,0.005750746,-0.455449332,0.888497935,-0.055715836,57941,104204.887403625,0.003741833,1,0.088621900,0.183742000,-0.465172000,0.040683968,-0.881313625,0.465107954,0.072840240,1,0.265618504,0.157859804,-0.529503562,0.040683968,-0.881313625,0.465107954,0.072840240
0.024785584,104204.903547250,vr_world,57863,104204.887403625,0.016143875,1,0.192097000,-0.329145000,-0.472244000,0.005750746,-0.455449332,0.888497935,-0.055715836,1,0.378517457,-0.310556431,-0.508649318,0.005750746,-0.455449332,0.888497935,-0.055715836,57941,104204.887403625,0.016143875,1,0.088621900,0.183742000,-0.465172000,0.040683968,-0.881313625,0.465107954,0.072840240,1,0.265618504,0.157859804,-0.529503562,0.040683968,-0.881313625,0.465107954,0.072840240
0.037214167,104204.915975833,vr_world,57864,104204.905392041,0.010584167,1,0.191558000,-0.329209000,-0.472041000,0.008196143,-0.456077503,0.888225558,-0.054603043,1,0.378064997,-0.310162504,-0.507759061,0.008196143,-0.456077503,0.888225558,-0.054603043,57942,104204.905392041,0.010584167,1,0.088648200,0.182012000,-0.464570000,0.044107258,-0.881360578,0.464826478,0.072072372,1,0.265936499,0.156468770,-0.528230162,0.044107258,-0.881360578,0.464826478,0.072072372
0.049620917,104204.928382583,vr_world,57865,104204.925182750,0.003200250,1,0.190870000,-0.328990000,-0.472113000,0.010132891,-0.455546681,0.888579046,-0.052932261,1,0.377466509,-0.309965375,-0.507372795,0.010132891,-0.455546681,0.888579046,-0.052932261,57943,104204.925182750,0.003200250,1,0.088845400,0.180493000,-0.464271000,0.046339196,-0.881899558,0.463702648,0.071314115,1,0.266414164,0.155533170,-0.527378919,0.046339196,-0.881899558,0.463702648,0.071314115
0.060322584,104204.939084250,vr_world,57865,104204.925182750,0.013902000,1,0.190870000,-0.328990000,-0.472113000,0.010132891,-0.455546681,0.888579046,-0.052932261,1,0.377466509,-0.309965375,-0.507372795,0.010132891,-0.455546681,0.888579046,-0.052932261,57943,104204.925182750,0.013902000,1,0.088845400,0.180493000,-0.464271000,0.046339196,-0.881899558,0.463702648,0.071314115,1,0.266414164,0.155533170,-0.527378919,0.046339196,-0.881899558,0.463702648,0.071314115
0.072739667,104204.951501333,vr_world,57866,104204.942806666,0.008695000,1,0.190865000,-0.328511000,-0.472237000,0.012579279,-0.453736788,0.889391262,-0.054294304,1,0.377731127,-0.310184309,-0.506421843,0.012579279,-0.453736788,0.889391262,-0.054294304,57944,104204.942806666,0.008695000,1,0.089096300,0.178858000,-0.463215000,0.048464157,-0.882124527,0.462799981,0.072963842,1,0.266653583,0.154531943,-0.526601855,0.048464157,-0.882124527,0.462799981,0.072963842
0.084318209,104204.963079875,vr_world,57867,104204.960916500,0.002163708,1,0.190647000,-0.327735000,-0.471855000,0.012255061,-0.451111220,0.890705445,-0.054701834,1,0.377619717,-0.310540480,-0.506045802,0.012255061,-0.451111220,0.890705445,-0.054701834,57945,104204.960916500,0.002163708,1,0.089743200,0.175969000,-0.462299000,0.053019201,-0.882440238,0.461537501,0.073968411,1,0.267512320,0.152566676,-0.525439363,0.053019201,-0.882440238,0.461537501,0.073968411
0.096736500,104204.975498166,vr_world,57867,104204.960916500,0.014582666,1,0.190647000,-0.327735000,-0.471855000,0.012255061,-0.451111220,0.890705445,-0.054701834,1,0.377619717,-0.310540480,-0.506045802,0.012255061,-0.451111220,0.890705445,-0.054701834,57945,104204.960916500,0.014582666,1,0.089743200,0.175969000,-0.462299000,0.053019201,-0.882440238,0.461537501,0.073968411,1,0.267512320,0.152566676,-0.525439363,0.053019201,-0.882440238,0.461537501,0.073968411
0.108332750,104204.987094416,vr_world,57868,104204.980292041,0.006802959,1,0.190996000,-0.327947000,-0.471743000,0.010561533,-0.451613570,0.890394058,-0.055964805,1,0.377885897,-0.310704588,-0.506359389,0.010561533,-0.451613570,0.890394058,-0.055964805,57946,104204.980292041,0.006802959,1,0.090373500,0.174503000,-0.462094000,0.053194672,-0.883600752,0.459434897,0.073072655,1,0.268384305,0.151909162,-0.524846544,0.053194672,-0.883600752,0.459434897,0.073072655
