t,host_monotonic_s,coordinate_frame,right_frame_counter,right_receive_monotonic_s,right_age_s,right_controller_valid,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_quat_w,right_controller_quat_x,right_controller_quat_y,right_controller_quat_z,right_tcp_valid,right_tcp_pos_x,right_tcp_pos_y,right_tcp_pos_z,right_tcp_quat_w,right_tcp_quat_x,right_tcp_quat_y,right_tcp_quat_z,left_frame_counter,left_receive_monotonic_s,left_age_s,left_controller_valid,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_quat_w,left_controller_quat_x,left_controller_quat_y,left_controller_quat_z,left_tcp_valid,left_tcp_pos_x,left_tcp_pos_y,left_tcp_pos_z,left_tcp_quat_w,left_tcp_quat_x,left_tcp_quat_y,left_tcp_quat_z
0.000000000,103147.836375666,vr_world,11627,103147.831554583,0.004821500,1,0.221213000,-0.141630000,-0.395745000,0.023101393,-0.306557841,0.946618387,-0.096965170,1,0.406236073,-0.183969154,-0.415676106,0.023101393,-0.306557841,0.946618387,-0.096965170,11710,103147.831554583,0.004821500,1,0.321171000,0.105072000,-0.425130000,0.086831662,-0.770018678,0.631913258,-0.014735390,1,0.480594881,0.007436075,-0.459589537,0.086831662,-0.770018678,0.631913258,-0.014735390
0.012402584,103147.848778250,vr_world,11627,103147.831554583,0.017224083,1,0.221213000,-0.141630000,-0.395745000,0.023101393,-0.306557841,0.946618387,-0.096965170,1,0.406236073,-0.183969154,-0.415676106,0.023101393,-0.306557841,0.946618387,-0.096965170,11710,103147.831554583,0.017224083,1,0.321171000,0.105072000,-0.425130000,0.086831662,-0.770018678,0.631913258,-0.014735390,1,0.480594881,0.007436075,-0.459589537,0.086831662,-0.770018678,0.631913258,-0.014735390
0.024814834,103147.861190500,vr_world,11628,103147.850976916,0.010213875,1,0.221234000,-0.141612000,-0.395687000,0.022993070,-0.306476295,0.946664509,-0.096798278,1,0.406242976,-0.183982240,-0.415683551,0.022993070,-0.306476295,0.946664509,-0.096798278,11711,103147.850976916,0.010213875,1,0.321171000,0.105072000,-0.425130000,0.086832075,-0.770017836,0.631914224,-0.014735534,1,0.480594664,0.007435550,-0.459589484,0.086832075,-0.770017836,0.631914224,-0.014735534
0.037206875,103147.873582541,vr_world,11629,103147.871104875,0.002478083,1,0.221298000,-0.141476000,-0.395676000,0.022577111,-0.306485983,0.946650148,-0.097005742,1,0.406291091,-0.183871038,-0.415767420,0.022577111,-0.306485983,0.946650148,-0.097005742,11712,103147.871104875,0.002478083,1,0.321172000,0.105072000,-0.425130000,0.086843299,-0.770018873,0.631911263,-0.014742199,1,0.480597102,0.007436730,-0.459586338,0.086843299,-0.770018873,0.631911263,-0.014742199
0.047355959,103147.883731625,vr_world,11629,103147.871104875,0.012628083,1,0.221298000,-0.141476000,-0.395676000,0.022577111,-0.306485983,0.946650148,-0.097005742,1,0.406291091,-0.183871038,-0.415767420,0.022577111,-0.306485983,0.946650148,-0.097005742,11712,103147.871104875,0.012628083,1,0.321172000,0.105072000,-0.425130000,0.086843299,-0.770018873,0.631911263,-0.014742199,1,0.480597102,0.007436730,-0.459586338,0.086843299,-0.770018873,0.631911263,-0.014742199
0.057716042,103147.894091708,vr_world,11630,103147.890687625,0.003405000,1,0.221313000,-0.141278000,-0.395742000,0.022152157,-0.306535233,0.946586076,-0.097571681,1,0.406297791,-0.183695461,-0.415862162,0.022152157,-0.306535233,0.946586076,-0.097571681,11713,103147.890687625,0.003405000,1,0.321171000,0.105072000,-0.425130000,0.086835629,-0.770018009,0.631913451,-0.014738713,1,0.480595101,0.007435900,-0.459588284,0.086835629,-0.770018009,0.631913451,-0.014738713
0.070077167,103147.906452833,vr_world,11630,103147.890687625,0.015765833,1,0.221313000,-0.141278000,-0.395742000,0.022152157,-0.306535233,0.946586076,-0.097571681,1,0.406297791,-0.183695461,-0.415862162,0.022152157,-0.306535233,0.946586076,-0.097571681,11713,103147.890687625,0.015765833,1,0.321171000,0.105072000,-0.425130000,0.086835629,-0.770018009,0.631913451,-0.014738713,1,0.480595101,0.007435900,-0.459588284,0.086835629,-0.770018009,0.631913451,-0.014738713
0.080707709,103147.917083375,vr_world,11631,103147.909466625,0.007617291,1,0.221327000,-0.141105000,-0.395750000,0.022190446,-0.306734216,0.946445835,-0.098295401,1,0.406339972,-0.183469098,-0.415722055,0.022190446,-0.306734216,0.946445835,-0.098295401,11714,103147.909466625,0.007617291,1,0.321170000,0.105072000,-0.425130000,0.086822534,-0.770021958,0.631910622,-0.014730848,1,0.480594092,0.007437036,-0.459591529,0.086822534,-0.770021958,0.631910622,-0.014730848
0.093113959,103147.929489625,vr_world,11632,103147.929158458,0.000331875,1,0.221407000,-0.140919000,-0.395635000,0.021615950,-0.306733783,0.946446878,-0.098414656,1,0.406394646,-0.183316916,-0.415770332,0.021615950,-0.306733783,0.946446878,-0.098414656,11715,103147.929158458,0.000331875,1,0.321172000,0.105072000,-0.425131000,0.086831368,-0.770015332,0.631917140,-0.014745515,1,0.480595279,0.007433627,-0.459587007,0.086831368,-0.770015332,0.631917140,-0.014745515
0.105533542,103147.941909208,vr_world,11632,103147.929158458,0.012751125,1,0.221407000,-0.140919000,-0.395635000,0.021615950,-0.306733783,0.946446878,-0.098414656,1,0.406394646,-0.183316916,-0.415770332,0.021615950,-0.306733783,0.946446878,-0.098414656,11715,103147.929158458,0.012751125,1,0.321172000,0.105072000,-0.425131000,0.086831368,-0.770015332,0.631917140,-0.014745515,1,0.480595279,0.007433627,-0.459587007,0.086831368,-0.770015332,0.631917140,-0.014745515
0.117902292,103147.954277958,vr_world,11633,103147.948067208,0.006211042,1,0.221612000,-0.140539000,-0.395608000,0.020906100,-0.306519543,0.946466868,-0.099041269,1,0.406556233,-0.183077475,-0.415844714,0.020906100,-0.306519543,0.946466868,-0.099041269,11716,103147.948067208,0.006211042,1,0.321173000,0.105068000,-0.425133000,0.086833202,-0.770030770,0.631897355,-0.014776387,1,0.480602491,0.007435529,-0.459576713,0.086833202,-0.770030770,0.631897355,-0.014776387
0.129714292,103147.966089958,vr_world,11633,103147.948067208,0.018023292,1,0.221612000,-0.140539000,-0.395608000,0.020906100,-0.306519543,0.946466868,-0.099041269,1,0.406556233,-0.183077475,-0.415844714,0.020906100,-0.306519543,0.946466868,-0.099041269,11716,103147.948067208,0.018023292,1,0.321173000,0.105068000,-0.425133000,0.086833202,-0.770030770,0.631897355,-0.014776387,1,0.480602491,0.007435529,-0.459576713,0.086833202,-0.770030770,0.631897355,-0.014776387
0.142119667,103147.978495333,vr_world,11634,103147.967488541,0.011007250,1,0.221831000,-0.140208000,-0.395648000,0.019717242,-0.305986302,0.946586507,-0.099787765,1,0.406683235,-0.183038698,-0.416108143,0.019717242,-0.305986302,0.946586507,-0.099787765,11717,103147.967488541,0.011007250,1,0.321171000,0.105073000,-0.425130000,0.086831358,-0.770015900,0.631916748,-0.014732721,1,0.480593795,0.007435850,-0.459590635,0.086831358,-0.770015900,0.631916748,-0.014732721
0.154514792,103147.990890458,vr_world,11635,103147.986964250,0.003926708,1,0.221727000,-0.140061000,-0.395528000,0.018590910,-0.306595238,0.946330872,-0.100556545,1,0.406587758,-0.182742379,-0.416221158,0.018590910,-0.306595238,0.946330872,-0.100556545,11718,103147.986964250,0.003926708,1,0.321170000,0.105073000,-0.425129000,0.086831634,-0.770019078,0.631913054,-0.014723405,1,0.480593485,0.007437992,-0.459593013,0.086831634,-0.770019078,0.631913054,-0.014723405
0.166912584,103148.003288250,vr_world,11635,103147.986964250,0.016324666,1,0.221727000,-0.140061000,-0.395528000,0.018590910,-0.306595238,0.946330872,-0.100556545,1,0.406587758,-0.182742379,-0.416221158,0.018590910,-0.306595238,0.946330872,-0.100556545,11718,103147.986964250,0.016324666,1,0.321170000,0.105073000,-0.425129000,0.086831634,-0.770019078,0.631913054,-0.014723405,1,0.480593485,0.007437992,-0.459593013,0.086831634,-0.770019078,0.631913054,-0.014723405
