t,host_monotonic_s,coordinate_frame,right_frame_counter,right_receive_monotonic_s,right_age_s,right_controller_valid,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_quat_w,right_controller_quat_x,right_controller_quat_y,right_controller_quat_z,right_tcp_valid,right_tcp_pos_x,right_tcp_pos_y,right_tcp_pos_z,right_tcp_quat_w,right_tcp_quat_x,right_tcp_quat_y,right_tcp_quat_z,left_frame_counter,left_receive_monotonic_s,left_age_s,left_controller_valid,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_quat_w,left_controller_quat_x,left_controller_quat_y,left_controller_quat_z,left_tcp_valid,left_tcp_pos_x,left_tcp_pos_y,left_tcp_pos_z,left_tcp_quat_w,left_tcp_quat_x,left_tcp_quat_y,left_tcp_quat_z
0.000000000,103557.250334500,vr_world,31434,103557.231736875,0.018599250,1,0.230388000,-0.212658000,-0.400428000,0.037597171,-0.329131588,0.940870567,-0.070862026,1,0.417426140,-0.244496957,-0.421079039,0.037597171,-0.329131588,0.940870567,-0.070862026,31517,103557.231736875,0.018599250,1,0.308914000,0.096488000,-0.427815000,0.094604172,-0.899452846,0.426593195,0.007271503,1,0.495678603,0.085562125,-0.461517330,0.094604172,-0.899452846,0.426593195,0.007271503
0.012402083,103557.262736583,vr_world,31435,103557.252739416,0.009997792,1,0.224734000,-0.211596000,-0.406665000,0.028484353,-0.340958357,0.934561446,-0.097626550,1,0.412456767,-0.240257768,-0.425693409,0.028484353,-0.340958357,0.934561446,-0.097626550,31518,103557.252739416,0.009997792,1,0.309007000,0.096575600,-0.427876000,0.094732553,-0.899416126,0.426650886,0.006737703,1,0.495804474,0.085597895,-0.461378254,0.094732553,-0.899416126,0.426650886,0.006737703
0.022986250,103557.273320750,vr_world,31435,103557.252739416,0.020582125,1,0.224734000,-0.211596000,-0.406665000,0.028484353,-0.340958357,0.934561446,-0.097626550,1,0.412456767,-0.240257768,-0.425693409,0.028484353,-0.340958357,0.934561446,-0.097626550,31518,103557.252739416,0.020582125,1,0.309007000,0.096575600,-0.427876000,0.094732553,-0.899416126,0.426650886,0.006737703,1,0.495804474,0.085597895,-0.461378254,0.094732553,-0.899416126,0.426650886,0.006737703
0.035398375,103557.285732875,vr_world,31436,103557.273739375,0.011993958,1,0.222087000,-0.222028000,-0.400211000,0.024003569,-0.312287705,0.941939080,-0.121041265,1,0.407914426,-0.262806820,-0.415332672,0.024003569,-0.312287705,0.941939080,-0.121041265,31519,103557.273739375,0.011993958,1,0.308925000,0.096520800,-0.427701000,0.093933463,-0.899498261,0.426633331,0.007961437,1,0.495629212,0.085593583,-0.461736364,0.093933463,-0.899498261,0.426633331,0.007961437
0.047820250,103557.298154750,vr_world,31437,103557.295831125,0.002324125,1,0.217598000,-0.219931000,-0.404435000,0.044270087,-0.324078275,0.938996963,-0.106292682,1,0.404897960,-0.254648027,-0.416135450,0.044270087,-0.324078275,0.938996963,-0.106292682,31520,103557.295831125,0.002324125,1,0.308914000,0.096492000,-0.427818000,0.094717731,-0.899425139,0.426620595,0.007605136,1,0.495661198,0.085580589,-0.461620758,0.094717731,-0.899425139,0.426620595,0.007605136
0.059058791,103557.309393291,vr_world,31437,103557.295831125,0.013562708,1,0.217598000,-0.219931000,-0.404435000,0.044270087,-0.324078275,0.938996963,-0.106292682,1,0.404897960,-0.254648027,-0.416135450,0.044270087,-0.324078275,0.938996963,-0.106292682,31520,103557.295831125,0.013562708,1,0.308914000,0.096492000,-0.427818000,0.094717731,-0.899425139,0.426620595,0.007605136,1,0.495661198,0.085580589,-0.461620758,0.094717731,-0.899425139,0.426620595,0.007605136
0.071481916,103557.321816416,vr_world,31438,103557.317232583,0.004584833,1,0.217855000,-0.223174000,-0.406626000,0.023107504,-0.312174537,0.944065725,-0.103696711,1,0.403431300,-0.263571342,-0.425411940,0.023107504,-0.312174537,0.944065725,-0.103696711,31521,103557.317232583,0.004584833,1,0.308880000,0.096606800,-0.427881000,0.094813118,-0.899419194,0.426618865,0.007206288,1,0.495653369,0.085675010,-0.461532689,0.094813118,-0.899419194,0.426618865,0.007206288
0.083897166,103557.334231666,vr_world,31438,103557.317232583,0.016999750,1,0.217855000,-0.223174000,-0.406626000,0.023107504,-0.312174537,0.944065725,-0.103696711,1,0.403431300,-0.263571342,-0.425411940,0.023107504,-0.312174537,0.944065725,-0.103696711,31521,103557.317232583,0.016999750,1,0.308880000,0.096606800,-0.427881000,0.094813118,-0.899419194,0.426618865,0.007206288,1,0.495653369,0.085675010,-0.461532689,0.094813118,-0.899419194,0.426618865,0.007206288
0.096315500,103557.346650000,vr_world,31439,103557.338794583,0.007856083,1,0.216826000,-0.234708000,-0.407065000,0.012030030,-0.320897315,0.935916311,-0.144709535,1,0.403143670,-0.273324609,-0.421825865,0.012030030,-0.320897315,0.935916311,-0.144709535,31522,103557.338794583,0.007856083,1,0.308844000,0.096619100,-0.427810000,0.094044529,-0.899456942,0.426699157,0.007788811,1,0.495559293,0.085658823,-0.461772826,0.094044529,-0.899456942,0.426699157,0.007788811
0.108720666,103557.359055166,vr_world,31439,103557.338794583,0.020261042,1,0.216826000,-0.234708000,-0.407065000,0.012030030,-0.320897315,0.935916311,-0.144709535,1,0.403143670,-0.273324609,-0.421825865,0.012030030,-0.320897315,0.935916311,-0.144709535,31522,103557.338794583,0.020261042,1,0.308844000,0.096619100,-0.427810000,0.094044529,-0.899456942,0.426699157,0.007788811,1,0.495559293,0.085658823,-0.461772826,0.094044529,-0.899456942,0.426699157,0.007788811
