t,host_monotonic_s,coordinate_frame,right_frame_counter,right_receive_monotonic_s,right_age_s,right_controller_valid,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_quat_w,right_controller_quat_x,right_controller_quat_y,right_controller_quat_z,right_tcp_valid,right_tcp_pos_x,right_tcp_pos_y,right_tcp_pos_z,right_tcp_quat_w,right_tcp_quat_x,right_tcp_quat_y,right_tcp_quat_z,left_frame_counter,left_receive_monotonic_s,left_age_s,left_controller_valid,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_quat_w,left_controller_quat_x,left_controller_quat_y,left_controller_quat_z,left_tcp_valid,left_tcp_pos_x,left_tcp_pos_y,left_tcp_pos_z,left_tcp_quat_w,left_tcp_quat_x,left_tcp_quat_y,left_tcp_quat_z,right_gripper_angle_rad,left_gripper_angle_rad
0.010464541,130777.872374416,vr_world,5301,130777.865270083,0.007104917,1,0.796838000,0.687148000,-0.065349900,0.040153594,-0.464858398,-0.882637138,0.056974041,1,0.750935079,0.504157166,-0.094171837,0.040153594,-0.464858398,-0.882637138,0.056974041,5647,130777.865270083,0.007104917,1,1.094280000,0.581092000,-0.070046400,0.073288600,-0.251606443,0.962929595,-0.063949780,1,1.051860608,0.399351720,-0.106202506,0.073288600,-0.251606443,0.962929595,-0.063949780,0.000000000,0.000000000
0.022627416,130777.884537291,vr_world,5302,130777.883607750,0.000930041,1,0.796862000,0.687093000,-0.065254400,0.040194659,-0.464749857,-0.882696841,0.056905605,1,0.751001913,0.504096277,-0.094107482,0.040194659,-0.464749857,-0.882696841,0.056905605,5648,130777.883607750,0.000930041,1,1.094270000,0.581058000,-0.070067100,0.073234840,-0.251626002,0.962932962,-0.063883671,1,1.051852613,0.399319484,-0.106235096,0.073234840,-0.251626002,0.962932962,-0.063883671,0.000000000,0.000000000
0.034764875,130777.896674750,vr_world,5302,130777.883607750,0.013067458,1,0.796862000,0.687093000,-0.065254400,0.040194659,-0.464749857,-0.882696841,0.056905605,1,0.751001913,0.504096277,-0.094107482,0.040194659,-0.464749857,-0.882696841,0.056905605,5648,130777.883607750,0.013067458,1,1.094270000,0.581058000,-0.070067100,0.073234840,-0.251626002,0.962932962,-0.063883671,1,1.051852613,0.399319484,-0.106235096,0.073234840,-0.251626002,0.962932962,-0.063883671,0.000000000,0.000000000
0.045135875,130777.907045750,vr_world,5303,130777.901317541,0.005728459,1,0.796904000,0.686969000,-0.065111900,0.040245685,-0.464883909,-0.882638082,0.056685549,1,0.750989974,0.503998926,-0.094047307,0.040245685,-0.464883909,-0.882638082,0.056685549,5649,130777.901317541,0.005728459,1,1.094240000,0.581061000,-0.070080200,0.073313305,-0.251697944,0.962898247,-0.064033352,1,1.051856925,0.399306891,-0.106209618,0.073313305,-0.251697944,0.962898247,-0.064033352,0.000000000,0.000000000
0.057511166,130777.919421041,vr_world,5303,130777.901317541,0.018104167,1,0.796904000,0.686969000,-0.065111900,0.040245685,-0.464883909,-0.882638082,0.056685549,1,0.750989974,0.503998926,-0.094047307,0.040245685,-0.464883909,-0.882638082,0.056685549,5649,130777.901317541,0.018104167,1,1.094240000,0.581061000,-0.070080200,0.073313305,-0.251697944,0.962898247,-0.064033352,1,1.051856925,0.399306891,-0.106209618,0.073313305,-0.251697944,0.962898247,-0.064033352,0.000000000,0.000000000
0.069918791,130777.931828666,vr_world,5304,130777.920581416,0.011247542,1,0.796891000,0.686899000,-0.065007700,0.040248397,-0.464685590,-0.882754307,0.056499577,1,0.751062538,0.503918901,-0.094016128,0.040248397,-0.464685590,-0.882754307,0.056499577,5650,130777.920581416,0.011247542,1,1.094230000,0.581040000,-0.070084500,0.073553725,-0.251668714,0.962895153,-0.063918949,1,1.051860377,0.399298791,-0.106294011,0.073553725,-0.251668714,0.962895153,-0.063918949,0.000000000,0.000000000
0.082330208,130777.944240083,vr_world,5305,130777.940236916,0.004003750,1,0.796872000,0.686910000,-0.065066800,0.040211989,-0.464784133,-0.882704616,0.056491307,1,0.751006044,0.503938978,-0.094072821,0.040211989,-0.464784133,-0.882704616,0.056491307,5651,130777.940236916,0.004003750,1,1.094280000,0.580979000,-0.070243300,0.073542812,-0.251708371,0.962888086,-0.063881799,1,1.051923995,0.399236319,-0.106461792,0.073542812,-0.251708371,0.962888086,-0.063881799,0.000000000,0.000000000
0.094745041,130777.956654916,vr_world,5305,130777.940236916,0.016418542,1,0.796872000,0.686910000,-0.065066800,0.040211989,-0.464784133,-0.882704616,0.056491307,1,0.751006044,0.503938978,-0.094072821,0.040211989,-0.464784133,-0.882704616,0.056491307,5651,130777.940236916,0.016418542,1,1.094280000,0.580979000,-0.070243300,0.073542812,-0.251708371,0.962888086,-0.063881799,1,1.051923995,0.399236319,-0.106461792,0.073542812,-0.251708371,0.962888086,-0.063881799,0.000000000,0.000000000
0.106461666,130777.968371541,vr_world,5306,130777.959364625,0.009007625,1,0.796894000,0.686880000,-0.065039200,0.040242996,-0.464817273,-0.882683398,0.056528081,1,0.751011228,0.503911310,-0.094033720,0.040242996,-0.464817273,-0.882683398,0.056528081,5652,130777.959364625,0.009007625,1,1.094340000,0.580959000,-0.070318500,0.073437630,-0.251614325,0.962919116,-0.063905573,1,1.051938553,0.399222333,-0.106514519,0.073437630,-0.251614325,0.962919116,-0.063905573,0.000000000,0.000000000
0.116917208,130777.978827083,vr_world,5307,130777.978112208,0.000715375,1,0.796954000,0.686819000,-0.064939100,0.040300182,-0.464961615,-0.882604759,0.056528146,1,0.751007392,0.503866706,-0.093935402,0.040300182,-0.464961615,-0.882604759,0.056528146,5653,130777.978112208,0.000715375,1,1.094330000,0.580946000,-0.070306400,0.073559366,-0.251596570,0.962919512,-0.063829451,1,1.051934406,0.399217368,-0.106549106,0.073559366,-0.251596570,0.962919512,-0.063829451,0.000000000,0.000000000
0.129297166,130777.991207041,vr_world,5307,130777.978112208,0.013096083,1,0.796954000,0.686819000,-0.064939100,0.040300182,-0.464961615,-0.882604759,0.056528146,1,0.751007392,0.503866706,-0.093935402,0.040300182,-0.464961615,-0.882604759,0.056528146,5653,130777.978112208,0.013096083,1,1.094330000,0.580946000,-0.070306400,0.073559366,-0.251596570,0.962919512,-0.063829451,1,1.051934406,0.399217368,-0.106549106,0.073559366,-0.251596570,0.962919512,-0.063829451,0.000000000,0.000000000
0.139752500,130778.001662375,vr_world,5308,130777.996696833,0.004966042,1,0.796971000,0.686760000,-0.064867100,0.040280645,-0.464951395,-0.882602020,0.056668724,1,0.751026754,0.503798633,-0.093810236,0.040280645,-0.464951395,-0.882602020,0.056668724,5654,130777.996696833,0.004966042,1,1.094290000,0.580933000,-0.070308500,0.073852659,-0.251513196,0.962920465,-0.063804972,1,1.051892934,0.399216940,-0.106612763,0.073852659,-0.251513196,0.962920465,-0.063804972,0.000000000,0.000000000
0.151572208,130778.013482083,vr_world,5308,130777.996696833,0.016785875,1,0.796971000,0.686760000,-0.064867100,0.040280645,-0.464951395,-0.882602020,0.056668724,1,0.751026754,0.503798633,-0.093810236,0.040280645,-0.464951395,-0.882602020,0.056668724,5654,130777.996696833,0.016785875,1,1.094290000,0.580933000,-0.070308500,0.073852659,-0.251513196,0.962920465,-0.063804972,1,1.051892934,0.399216940,-0.106612763,0.073852659,-0.251513196,0.962920465,-0.063804972,0.000000000,0.000000000
0.164035833,130778.025945708,vr_world,5309,130778.017482708,0.008464625,1,0.796928000,0.686795000,-0.064899100,0.040279206,-0.464927472,-0.882624794,0.056511104,1,0.750997366,0.503839478,-0.093900548,0.040279206,-0.464927472,-0.882624794,0.056511104,5655,130778.017482708,0.008464625,1,1.094300000,0.580889000,-0.070410800,0.074037447,-0.251482384,0.962911299,-0.063850580,1,1.051910100,0.399174819,-0.106732802,0.074037447,-0.251482384,0.962911299,-0.063850580,0.000000000,0.000000000
0.176262791,130778.038172666,vr_world,5310,130778.034824333,0.003350667,1,0.796902000,0.686800000,-0.064927100,0.040316984,-0.464894032,-0.882636129,0.056582181,1,0.750980481,0.503838658,-0.093906538,0.040316984,-0.464894032,-0.882636129,0.056582181,5656,130778.034824333,0.003350667,1,1.094330000,0.580852000,-0.070497500,0.074095152,-0.251409926,0.962927239,-0.063828593,1,1.051919020,0.399146692,-0.106839369,0.074095152,-0.251409926,0.962927239,-0.063828593,0.000000000,0.000000000
0.188377541,130778.050287416,vr_world,5310,130778.034824333,0.015464333,1,0.796902000,0.686800000,-0.064927100,0.040316984,-0.464894032,-0.882636129,0.056582181,1,0.750980481,0.503838658,-0.093906538,0.040316984,-0.464894032,-0.882636129,0.056582181,5656,130778.034824333,0.015464333,1,1.094330000,0.580852000,-0.070497500,0.074095152,-0.251409926,0.962927239,-0.063828593,1,1.051919020,0.399146692,-0.106839369,0.074095152,-0.251409926,0.962927239,-0.063828593,0.000000000,0.000000000
