t,host_monotonic_s,coordinate_frame,right_frame_counter,right_receive_monotonic_s,right_age_s,right_controller_valid,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_quat_w,right_controller_quat_x,right_controller_quat_y,right_controller_quat_z,right_tcp_valid,right_tcp_pos_x,right_tcp_pos_y,right_tcp_pos_z,right_tcp_quat_w,right_tcp_quat_x,right_tcp_quat_y,right_tcp_quat_z,left_frame_counter,left_receive_monotonic_s,left_age_s,left_controller_valid,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_quat_w,left_controller_quat_x,left_controller_quat_y,left_controller_quat_z,left_tcp_valid,left_tcp_pos_x,left_tcp_pos_y,left_tcp_pos_z,left_tcp_quat_w,left_tcp_quat_x,left_tcp_quat_y,left_tcp_quat_z,right_gripper_angle_rad,left_gripper_angle_rad
0.012334042,130934.554215833,vr_world,13630,130934.546218000,0.007998416,1,0.812662000,0.730031000,-0.024357000,0.083820758,-0.495605186,-0.862247375,-0.062281984,1,0.753175336,0.564485238,-0.098379753,0.083820758,-0.495605186,-0.862247375,-0.062281984,13976,130934.546218000,0.007998416,1,1.046330000,0.576512000,-0.047976900,0.130063734,-0.106350873,0.985636168,0.017154051,1,0.962568568,0.424216826,-0.124959989,0.130063734,-0.106350873,0.985636168,0.017154051,0.000000000,0.000000000
0.024737459,130934.566619250,vr_world,13631,130934.565474291,0.001145334,1,0.811673000,0.728687000,-0.023883300,0.068977473,-0.500789935,-0.860669840,-0.060819205,1,0.751879935,0.562551868,-0.096321818,0.068977473,-0.500789935,-0.860669840,-0.060819205,13977,130934.565474291,0.001145334,1,1.046390000,0.576315000,-0.046756400,0.132451558,-0.103284259,0.985641349,0.017322736,1,0.962056685,0.424657605,-0.124372082,0.132451558,-0.103284259,0.985641349,0.017322736,0.000000000,0.000000000
0.037151459,130934.579033250,vr_world,13631,130934.565474291,0.013559375,1,0.811673000,0.728687000,-0.023883300,0.068977473,-0.500789935,-0.860669840,-0.060819205,1,0.751879935,0.562551868,-0.096321818,0.068977473,-0.500789935,-0.860669840,-0.060819205,13977,130934.565474291,0.013559375,1,1.046390000,0.576315000,-0.046756400,0.132451558,-0.103284259,0.985641349,0.017322736,1,0.962056685,0.424657605,-0.124372082,0.132451558,-0.103284259,0.985641349,0.017322736,0.000000000,0.000000000
0.049568875,130934.591450666,vr_world,13632,130934.584369500,0.007081583,1,0.809887000,0.726728000,-0.021090000,0.050410904,-0.507081869,-0.857112989,-0.075392590,1,0.750373671,0.562156304,-0.097233019,0.050410904,-0.507081869,-0.857112989,-0.075392590,13978,130934.584369500,0.007081583,1,1.047590000,0.576145000,-0.042183000,0.137519578,-0.091996480,0.986021427,0.019666180,1,0.960674533,0.427041578,-0.121870496,0.137519578,-0.091996480,0.986021427,0.019666180,0.000000000,0.000000000
0.061986792,130934.603868583,vr_world,13633,130934.602817958,0.001051292,1,0.807257000,0.725456000,-0.019790900,0.046190063,-0.505221724,-0.857777373,-0.082676874,1,0.749309800,0.561378821,-0.098176150,0.046190063,-0.505221724,-0.857777373,-0.082676874,13979,130934.602817958,0.001051292,1,1.047180000,0.575642000,-0.041204000,0.129546971,-0.089595868,0.987294662,0.020962162,1,0.958327131,0.427050786,-0.119702518,0.129546971,-0.089595868,0.987294662,0.020962162,0.000000000,0.000000000
0.072603042,130934.614484833,vr_world,13633,130934.602817958,0.011667375,1,0.807257000,0.725456000,-0.019790900,0.046190063,-0.505221724,-0.857777373,-0.082676874,1,0.749309800,0.561378821,-0.098176150,0.046190063,-0.505221724,-0.857777373,-0.082676874,13979,130934.602817958,0.011667375,1,1.047180000,0.575642000,-0.041204000,0.129546971,-0.089595868,0.987294662,0.020962162,1,0.958327131,0.427050786,-0.119702518,0.129546971,-0.089595868,0.987294662,0.020962162,0.000000000,0.000000000
0.085012792,130934.626894583,vr_world,13634,130934.621756416,0.005138542,1,0.804036000,0.724674000,-0.018242900,0.042309167,-0.497247083,-0.861643041,-0.092339280,1,0.750168665,0.560718902,-0.099731850,0.042309167,-0.497247083,-0.861643041,-0.092339280,13980,130934.621756416,0.005138542,1,1.047910000,0.575592000,-0.038494300,0.127929037,-0.083352775,0.987930558,0.026070862,1,0.957066562,0.428894928,-0.118266738,0.127929037,-0.083352775,0.987930558,0.026070862,0.000000000,0.000000000
0.097425250,130934.639307041,vr_world,13634,130934.621756416,0.017551250,1,0.804036000,0.724674000,-0.018242900,0.042309167,-0.497247083,-0.861643041,-0.092339280,1,0.750168665,0.560718902,-0.099731850,0.042309167,-0.497247083,-0.861643041,-0.092339280,13980,130934.621756416,0.017551250,1,1.047910000,0.575592000,-0.038494300,0.127929037,-0.083352775,0.987930558,0.026070862,1,0.957066562,0.428894928,-0.118266738,0.127929037,-0.083352775,0.987930558,0.026070862,0.000000000,0.000000000
0.109837417,130934.651719208,vr_world,13635,130934.639998583,0.011721083,1,0.799124000,0.723532000,-0.016331200,0.031895349,-0.486080762,-0.867048931,-0.104567353,1,0.751525860,0.559364897,-0.101225365,0.031895349,-0.486080762,-0.867048931,-0.104567353,13981,130934.639998583,0.011721083,1,1.049520000,0.574801000,-0.034375600,0.122622162,-0.073436416,0.989178797,0.033109002,1,0.955098098,0.430990337,-0.115241166,0.122622162,-0.073436416,0.989178797,0.033109002,0.000000000,0.000000000
0.122251625,130934.664133416,vr_world,13636,130934.658631375,0.005502500,1,0.795712000,0.722928000,-0.015997700,0.023944621,-0.480276574,-0.870206819,-0.107243458,1,0.751487751,0.557954587,-0.101153221,0.023944621,-0.480276574,-0.870206819,-0.107243458,13982,130934.658631375,0.005502500,1,1.049960000,0.574206000,-0.032473600,0.116466974,-0.066735051,0.990244087,0.037396860,1,0.952737249,0.432281158,-0.113351998,0.116466974,-0.066735051,0.990244087,0.037396860,0.000000000,0.000000000
