t,host_monotonic_s,coordinate_frame,right_frame_counter,right_receive_monotonic_s,right_age_s,right_controller_valid,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_quat_w,right_controller_quat_x,right_controller_quat_y,right_controller_quat_z,right_tcp_valid,right_tcp_pos_x,right_tcp_pos_y,right_tcp_pos_z,right_tcp_quat_w,right_tcp_quat_x,right_tcp_quat_y,right_tcp_quat_z,left_frame_counter,left_receive_monotonic_s,left_age_s,left_controller_valid,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_quat_w,left_controller_quat_x,left_controller_quat_y,left_controller_quat_z,left_tcp_valid,left_tcp_pos_x,left_tcp_pos_y,left_tcp_pos_z,left_tcp_quat_w,left_tcp_quat_x,left_tcp_quat_y,left_tcp_quat_z,right_gripper_angle_rad,left_gripper_angle_rad
0.012324917,131741.418255125,vr_world,47610,131741.413232208,0.005023500,1,-0.185207000,-0.533170000,-0.468112000,0.027573404,0.080987536,-0.995181120,0.047908928,1,-0.041289201,-0.651615764,-0.509120634,0.027573404,0.080987536,-0.995181120,0.047908928,47974,131741.413232208,0.005023500,1,-0.398388000,-0.956634000,-0.432012000,0.050804087,-0.804318388,0.588010989,0.068803731,1,-0.236542774,-1.032023248,-0.497271409,0.050804087,-0.804318388,0.588010989,0.068803731,0.000000000,0.000000000
0.024722167,131741.430652375,vr_world,47610,131741.413232208,0.017420417,1,-0.185207000,-0.533170000,-0.468112000,0.027573404,0.080987536,-0.995181120,0.047908928,1,-0.041289201,-0.651615764,-0.509120634,0.027573404,0.080987536,-0.995181120,0.047908928,47974,131741.413232208,0.017420417,1,-0.398388000,-0.956634000,-0.432012000,0.050804087,-0.804318388,0.588010989,0.068803731,1,-0.236542774,-1.032023248,-0.497271409,0.050804087,-0.804318388,0.588010989,0.068803731,0.000000000,0.000000000
0.037155417,131741.443085625,vr_world,47611,131741.431915208,0.011170708,1,-0.186409000,-0.533234000,-0.466457000,0.036782550,0.091695376,-0.994736664,0.027165633,1,-0.041265791,-0.647065222,-0.515440116,0.036782550,0.091695376,-0.994736664,0.027165633,47975,131741.431915208,0.011170708,1,-0.398640000,-0.959245000,-0.422833000,0.045605086,-0.803926369,0.585260785,0.095353991,1,-0.239652979,-1.031819989,-0.497614057,0.045605086,-0.803926369,0.585260785,0.095353991,0.000000000,0.000000000
0.048971375,131741.454901583,vr_world,47612,131741.452019458,0.002882542,1,-0.187046000,-0.533497000,-0.466420000,0.033180412,0.101726260,-0.993902668,0.026614176,1,-0.039312986,-0.644241363,-0.514732369,0.033180412,0.101726260,-0.993902668,0.026614176,47976,131741.452019458,0.002882542,1,-0.401112000,-0.958896000,-0.420241000,0.066855226,-0.801490322,0.587798726,0.087385925,1,-0.240285239,-1.031556572,-0.490890993,0.066855226,-0.801490322,0.587798726,0.087385925,0.000000000,0.000000000
0.059632083,131741.465562291,vr_world,47612,131741.452019458,0.013543292,1,-0.187046000,-0.533497000,-0.466420000,0.033180412,0.101726260,-0.993902668,0.026614176,1,-0.039312986,-0.644241363,-0.514732369,0.033180412,0.101726260,-0.993902668,0.026614176,47976,131741.452019458,0.013543292,1,-0.401112000,-0.958896000,-0.420241000,0.066855226,-0.801490322,0.587798726,0.087385925,1,-0.240285239,-1.031556572,-0.490890993,0.066855226,-0.801490322,0.587798726,0.087385925,0.000000000,0.000000000
0.072039667,131741.477969875,vr_world,47613,131741.470865708,0.007104542,1,-0.188374000,-0.533756000,-0.463054000,0.039575733,0.113487854,-0.992566422,0.019135492,1,-0.038911408,-0.640393101,-0.515139709,0.039575733,0.113487854,-0.992566422,0.019135492,47977,131741.470865708,0.007104542,1,-0.401447000,-0.962867000,-0.412951000,0.082036619,-0.812643242,0.573901010,0.059317654,1,-0.234245767,-1.031272418,-0.472117440,0.082036619,-0.812643242,0.573901010,0.059317654,0.000000000,0.000000000
0.082933625,131741.488863833,vr_world,47613,131741.470865708,0.017998667,1,-0.188374000,-0.533756000,-0.463054000,0.039575733,0.113487854,-0.992566422,0.019135492,1,-0.038911408,-0.640393101,-0.515139709,0.039575733,0.113487854,-0.992566422,0.019135492,47977,131741.470865708,0.017998667,1,-0.401447000,-0.962867000,-0.412951000,0.082036619,-0.812643242,0.573901010,0.059317654,1,-0.234245767,-1.031272418,-0.472117440,0.082036619,-0.812643242,0.573901010,0.059317654,0.000000000,0.000000000
0.095352208,131741.501282416,vr_world,47614,131741.491074000,0.010208791,1,-0.188900000,-0.532971000,-0.461036000,0.043565727,0.112170238,-0.992633921,0.014062861,1,-0.040257159,-0.639600273,-0.515432052,0.043565727,0.112170238,-0.992633921,0.014062861,47978,131741.491074000,0.010208791,1,-0.399490000,-0.966996000,-0.406926000,0.086548823,-0.822426298,0.559693229,0.053551610,1,-0.229093227,-1.029811327,-0.463098576,0.086548823,-0.822426298,0.559693229,0.053551610,0.000000000,0.000000000
0.107726125,131741.513656333,vr_world,47615,131741.509942708,0.003714083,1,-0.189785000,-0.531864000,-0.458130000,0.049114282,0.113904984,-0.992254611,0.006650415,1,-0.041568319,-0.637325427,-0.515863582,0.049114282,0.113904984,-0.992254611,0.006650415,47979,131741.509942708,0.003714083,1,-0.395741000,-0.974725000,-0.395631000,0.088070652,-0.838617927,0.535138235,0.050897966,1,-0.221329595,-1.027590501,-0.449687654,0.088070652,-0.838617927,0.535138235,0.050897966,0.000000000,0.000000000
0.120131708,131741.526061916,vr_world,47615,131741.509942708,0.016119667,1,-0.189785000,-0.531864000,-0.458130000,0.049114282,0.113904984,-0.992254611,0.006650415,1,-0.041568319,-0.637325427,-0.515863582,0.049114282,0.113904984,-0.992254611,0.006650415,47979,131741.509942708,0.016119667,1,-0.395741000,-0.974725000,-0.395631000,0.088070652,-0.838617927,0.535138235,0.050897966,1,-0.221329595,-1.027590501,-0.449687654,0.088070652,-0.838617927,0.535138235,0.050897966,0.000000000,0.000000000
0.131630208,131741.537560416,vr_world,47616,131741.528785583,0.008775500,1,-0.189953000,-0.531120000,-0.455875000,0.054981670,0.111890157,-0.992180695,0.005922660,1,-0.042864220,-0.637196739,-0.515339830,0.054981670,0.111890157,-0.992180695,0.005922660,47980,131741.528785583,0.008775500,1,-0.390831000,-0.976907000,-0.386415000,0.076376357,-0.840615863,0.532646109,0.061804094,1,-0.217630251,-1.028587422,-0.445295070,0.076376357,-0.840615863,0.532646109,0.061804094,0.000000000,0.000000000
0.144028417,131741.549958625,vr_world,47617,131741.548317791,0.001641250,1,-0.189911000,-0.530563000,-0.453276000,0.058406727,0.110786489,-0.992124639,-0.001926061,1,-0.043668599,-0.636197627,-0.515548975,0.058406727,0.110786489,-0.992124639,-0.001926061,47981,131741.548317791,0.001641250,1,-0.386677000,-0.978600000,-0.378088000,0.061406920,-0.836067148,0.540715666,0.069623871,1,-0.216185852,-1.033968703,-0.441359599,0.061406920,-0.836067148,0.540715666,0.069623871,0.000000000,0.000000000
0.156440542,131741.562370750,vr_world,47617,131741.548317791,0.014053459,1,-0.189911000,-0.530563000,-0.453276000,0.058406727,0.110786489,-0.992124639,-0.001926061,1,-0.043668599,-0.636197627,-0.515548975,0.058406727,0.110786489,-0.992124639,-0.001926061,47981,131741.548317791,0.014053459,1,-0.386677000,-0.978600000,-0.378088000,0.061406920,-0.836067148,0.540715666,0.069623871,1,-0.216185852,-1.033968703,-0.441359599,0.061406920,-0.836067148,0.540715666,0.069623871,0.000000000,0.000000000
0.168884542,131741.574814750,vr_world,47618,131741.567720958,0.007096042,1,-0.189625000,-0.529875000,-0.449377000,0.065138532,0.107233597,-0.992016495,-0.012696487,1,-0.045271202,-0.635455029,-0.515997398,0.065138532,0.107233597,-0.992016495,-0.012696487,47982,131741.567720958,0.007096042,1,-0.381203000,-0.985247000,-0.365965000,0.049302755,-0.839824202,0.536402096,0.067359776,1,-0.210536951,-1.039880753,-0.429403803,0.049302755,-0.839824202,0.536402096,0.067359776,0.000000000,0.000000000
0.181295292,131741.587225500,vr_world,47619,131741.587156000,0.000069916,1,-0.190006000,-0.529488000,-0.447193000,0.070095353,0.108571976,-0.991485370,-0.015985237,1,-0.046108496,-0.634330159,-0.515931953,0.070095353,0.108571976,-0.991485370,-0.015985237,47983,131741.587156000,0.000069916,1,-0.376438000,-0.989952000,-0.359735000,0.050750420,-0.842805923,0.532075991,0.063227463,1,-0.204657409,-1.043004206,-0.421485326,0.050750420,-0.842805923,0.532075991,0.063227463,0.000000000,0.000000000
0.193742208,131741.599672416,vr_world,47619,131741.587156000,0.012518750,1,-0.190006000,-0.529488000,-0.447193000,0.070095353,0.108571976,-0.991485370,-0.015985237,1,-0.046108496,-0.634330159,-0.515931953,0.070095353,0.108571976,-0.991485370,-0.015985237,47983,131741.587156000,0.012518750,1,-0.376438000,-0.989952000,-0.359735000,0.050750420,-0.842805923,0.532075991,0.063227463,1,-0.204657409,-1.043004206,-0.421485326,0.050750420,-0.842805923,0.532075991,0.063227463,0.000000000,0.000000000
0.206157083,131741.612087291,vr_world,47620,131741.606635250,0.005452541,1,-0.190147000,-0.529425000,-0.444236000,0.076744900,0.112582678,-0.990463094,-0.020450432,1,-0.046436582,-0.632589191,-0.515845413,0.076744900,0.112582678,-0.990463094,-0.020450432,47984,131741.606635250,0.005452541,1,-0.367409000,-0.998354000,-0.346812000,0.047751813,-0.846513884,0.525501722,0.070582924,1,-0.195707114,-1.048428141,-0.411211132,0.047751813,-0.846513884,0.525501722,0.070582924,0.000000000,0.000000000
0.218564042,131741.624494250,vr_world,47620,131741.606635250,0.017859333,1,-0.190147000,-0.529425000,-0.444236000,0.076744900,0.112582678,-0.990463094,-0.020450432,1,-0.046436582,-0.632589191,-0.515845413,0.076744900,0.112582678,-0.990463094,-0.020450432,47984,131741.606635250,0.017859333,1,-0.367409000,-0.998354000,-0.346812000,0.047751813,-0.846513884,0.525501722,0.070582924,1,-0.195707114,-1.048428141,-0.411211132,0.047751813,-0.846513884,0.525501722,0.070582924,0.000000000,0.000000000
0.230976292,131741.636906500,vr_world,47621,131741.625553500,0.011353416,1,-0.189682000,-0.529882000,-0.443060000,0.083450287,0.118058016,-0.989316307,-0.018750975,1,-0.045708421,-0.631660471,-0.516109446,0.083450287,0.118058016,-0.989316307,-0.018750975,47985,131741.625553500,0.011353416,1,-0.360432000,-1.005130000,-0.339382000,0.054090502,-0.850818819,0.515245946,0.087767706,1,-0.189057616,-1.049324894,-0.408764062,0.054090502,-0.850818819,0.515245946,0.087767706,0.000000000,0.000000000
0.243386875,131741.649317083,vr_world,47622,131741.644153000,0.005164458,1,-0.189171000,-0.529494000,-0.441043000,0.092847581,0.119035802,-0.988278298,-0.022711442,1,-0.046477696,-0.630569118,-0.517501656,0.092847581,0.119035802,-0.988278298,-0.022711442,47986,131741.644153000,0.005164458,1,-0.353622000,-1.011010000,-0.332237000,0.052949753,-0.854380380,0.506979455,0.101006545,1,-0.183019901,-1.050979065,-0.405950082,0.052949753,-0.854380380,0.506979455,0.101006545,0.000000000,0.000000000
0.255790542,131741.661720750,vr_world,47622,131741.644153000,0.017568208,1,-0.189171000,-0.529494000,-0.441043000,0.092847581,0.119035802,-0.988278298,-0.022711442,1,-0.046477696,-0.630569118,-0.517501656,0.092847581,0.119035802,-0.988278298,-0.022711442,47986,131741.644153000,0.017568208,1,-0.353622000,-1.011010000,-0.332237000,0.052949753,-0.854380380,0.506979455,0.101006545,1,-0.183019901,-1.050979065,-0.405950082,0.052949753,-0.854380380,0.506979455,0.101006545,0.000000000,0.000000000
0.266420667,131741.672350875,vr_world,47623,131741.662692833,0.009658417,1,-0.187988000,-0.529000000,-0.438585000,0.107262194,0.119053653,-0.986773730,-0.024467416,1,-0.047514294,-0.629964132,-0.519187734,0.107262194,0.119053653,-0.986773730,-0.024467416,47987,131741.662692833,0.009658417,1,-0.341965000,-1.021480000,-0.320673000,0.059327954,-0.859022567,0.493480064,0.122628912,1,-0.172479629,-1.053862881,-0.400436880,0.059327954,-0.859022567,0.493480064,0.122628912,0.000000000,0.000000000
