t,host_monotonic_s,coordinate_frame,right_frame_counter,right_receive_monotonic_s,right_age_s,right_controller_valid,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_quat_w,right_controller_quat_x,right_controller_quat_y,right_controller_quat_z,right_tcp_valid,right_tcp_pos_x,right_tcp_pos_y,right_tcp_pos_z,right_tcp_quat_w,right_tcp_quat_x,right_tcp_quat_y,right_tcp_quat_z,left_frame_counter,left_receive_monotonic_s,left_age_s,left_controller_valid,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_quat_w,left_controller_quat_x,left_controller_quat_y,left_controller_quat_z,left_tcp_valid,left_tcp_pos_x,left_tcp_pos_y,left_tcp_pos_z,left_tcp_quat_w,left_tcp_quat_x,left_tcp_quat_y,left_tcp_quat_z,right_gripper_angle_rad,left_gripper_angle_rad
0.012057917,131360.264473875,vr_world,28298,131360.252237958,0.012236375,1,0.018849100,0.262838000,-0.552936000,0.214025947,0.923510694,-0.310983406,0.067898551,1,0.000538805,0.408670178,-0.674678244,0.214025947,0.923510694,-0.310983406,0.067898551,28662,131360.252237958,0.012236375,1,-0.144787000,0.327116000,-0.342987000,0.337269257,-0.872581563,0.289122193,0.203123661,1,0.030231935,0.389626867,-0.382949035,0.337269257,-0.872581563,0.289122193,0.203123661,0.000000000,0.000000000
0.024410417,131360.276826375,vr_world,28299,131360.267487500,0.009339166,1,0.019037900,0.261299000,-0.551964000,0.212198756,0.923636433,-0.311789621,0.068225060,1,0.001128247,0.407554894,-0.673256583,0.212198756,0.923636433,-0.311789621,0.068225060,28663,131360.267487500,0.009339166,1,-0.142389000,0.325786000,-0.342675000,0.336738506,-0.874419729,0.286459441,0.199845703,1,0.032709932,0.388829779,-0.381431283,0.336738506,-0.874419729,0.286459441,0.199845703,0.000000000,0.000000000
0.036821583,131360.289237541,vr_world,28300,131360.282476000,0.006762041,1,0.019211300,0.259939000,-0.551085000,0.210823916,0.923543397,-0.312931481,0.068518309,1,0.001802999,0.406527173,-0.672048970,0.210823916,0.923543397,-0.312931481,0.068518309,28664,131360.282476000,0.006762041,1,-0.139898000,0.324474000,-0.342348000,0.335548915,-0.877159499,0.282800256,0.194992704,1,0.035303893,0.388225534,-0.379446022,0.335548915,-0.877159499,0.282800256,0.194992704,0.000000000,0.000000000
0.049228375,131360.301644333,vr_world,28301,131360.297227416,0.004417584,1,0.019368900,0.258662000,-0.550364000,0.209653373,0.923388489,-0.314234497,0.068233733,1,0.002416007,0.405588818,-0.670981227,0.209653373,0.923388489,-0.314234497,0.068233733,28665,131360.297227416,0.004417584,1,-0.137494000,0.323406000,-0.341778000,0.333791013,-0.879400464,0.280849268,0.190688419,1,0.037868309,0.387364780,-0.377743813,0.333791013,-0.879400464,0.280849268,0.190688419,0.000000000,0.000000000
0.061635208,131360.314051166,vr_world,28302,131360.312690833,0.001360917,1,0.019569300,0.257464000,-0.549679000,0.208140594,0.923685901,-0.314462740,0.067786688,1,0.002669901,0.404783347,-0.669823992,0.208140594,0.923685901,-0.314462740,0.067786688,28666,131360.312690833,0.001360917,1,-0.134852000,0.322643000,-0.340978000,0.331576191,-0.881317059,0.280572979,0.186054497,1,0.040831981,0.386208708,-0.376060227,0.331576191,-0.881317059,0.280572979,0.186054497,0.000000000,0.000000000
0.074000833,131360.326416791,vr_world,28302,131360.312690833,0.013726542,1,0.019569300,0.257464000,-0.549679000,0.208140594,0.923685901,-0.314462740,0.067786688,1,0.002669901,0.404783347,-0.669823992,0.208140594,0.923685901,-0.314462740,0.067786688,28666,131360.312690833,0.013726542,1,-0.134852000,0.322643000,-0.340978000,0.331576191,-0.881317059,0.280572979,0.186054497,1,0.040831981,0.386208708,-0.376060227,0.331576191,-0.881317059,0.280572979,0.186054497,0.000000000,0.000000000
0.086416458,131360.338832416,vr_world,28303,131360.327540666,0.011291959,1,0.019781800,0.256098000,-0.548544000,0.206974644,0.923894379,-0.314610032,0.067832147,1,0.002979037,0.403684663,-0.668374242,0.206974644,0.923894379,-0.314610032,0.067832147,28667,131360.327540666,0.011291959,1,-0.132393000,0.321334000,-0.340686000,0.327592229,-0.883874949,0.280212779,0.181464059,1,0.043504092,0.384600593,-0.375237237,0.327592229,-0.883874949,0.280212779,0.181464059,0.000000000,0.000000000
0.098683375,131360.351099333,vr_world,28304,131360.342321666,0.008778084,1,0.019939300,0.254532000,-0.547232000,0.205784695,0.924165119,-0.314498785,0.068278889,1,0.003208388,0.402347642,-0.666789692,0.205784695,0.924165119,-0.314498785,0.068278889,28668,131360.342321666,0.008778084,1,-0.130065000,0.319873000,-0.340575000,0.322137097,-0.886480316,0.280838388,0.177510958,1,0.046002772,0.382617307,-0.375209207,0.322137097,-0.886480316,0.280838388,0.177510958,0.000000000,0.000000000
0.110738333,131360.363154291,vr_world,28305,131360.357477833,0.005676958,1,0.020038000,0.251975000,-0.545474000,0.202445689,0.924529507,-0.315264703,0.069778943,1,0.003936359,0.400446036,-0.664303711,0.202445689,0.924529507,-0.315264703,0.069778943,28669,131360.357477833,0.005676958,1,-0.125209000,0.318044000,-0.339421000,0.312269259,-0.891498378,0.281682267,0.168444805,1,0.051326923,0.379710490,-0.373605091,0.312269259,-0.891498378,0.281682267,0.168444805,0.000000000,0.000000000
0.121404875,131360.373820833,vr_world,28306,131360.373237583,0.000583792,1,0.019814600,0.250672000,-0.544629000,0.200315657,0.924696868,-0.315631291,0.072015472,1,0.004284237,0.399447263,-0.663154055,0.200315657,0.924696868,-0.315631291,0.072015472,28670,131360.373237583,0.000583792,1,-0.122506000,0.317795000,-0.338557000,0.304917254,-0.894277979,0.284183206,0.162887293,1,0.054443404,0.378128863,-0.372980242,0.304917254,-0.894277979,0.284183206,0.162887293,0.000000000,0.000000000
