t,host_monotonic_s,coordinate_frame,right_frame_counter,right_receive_monotonic_s,right_age_s,right_controller_valid,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_quat_w,right_controller_quat_x,right_controller_quat_y,right_controller_quat_z,right_tcp_valid,right_tcp_pos_x,right_tcp_pos_y,right_tcp_pos_z,right_tcp_quat_w,right_tcp_quat_x,right_tcp_quat_y,right_tcp_quat_z,left_frame_counter,left_receive_monotonic_s,left_age_s,left_controller_valid,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_quat_w,left_controller_quat_x,left_controller_quat_y,left_controller_quat_z,left_tcp_valid,left_tcp_pos_x,left_tcp_pos_y,left_tcp_pos_z,left_tcp_quat_w,left_tcp_quat_x,left_tcp_quat_y,left_tcp_quat_z,right_gripper_angle_rad,left_gripper_angle_rad
0.009948875,131635.001590625,vr_world,41997,131634.991060958,0.010530208,1,0.137463000,-0.086545500,-0.467941000,0.005496006,0.022323903,-0.996161955,0.084455886,1,0.268785574,-0.222914886,-0.492049725,0.005496006,0.022323903,-0.996161955,0.084455886,42361,131634.991060958,0.010530208,1,-0.038757300,-0.419896000,-0.465145000,0.072541624,-0.904895979,0.413467405,0.070325568,1,0.142345847,-0.422745980,-0.522848983,0.072541624,-0.904895979,0.413467405,0.070325568,0.000000000,0.000000000
0.022336083,131635.013977833,vr_world,41998,131635.009736958,0.004241292,1,0.137432000,-0.086544500,-0.468006000,0.005497344,0.022356978,-0.996170988,0.084340431,1,0.268762984,-0.222899894,-0.492148103,0.005497344,0.022356978,-0.996170988,0.084340431,42362,131635.009736958,0.004241292,1,-0.038757300,-0.419896000,-0.465145000,0.072538711,-0.904895212,0.413469746,0.070324670,1,0.142345697,-0.422747157,-0.522849136,0.072538711,-0.904895212,0.413469746,0.070324670,0.000000000,0.000000000
0.033528791,131635.025170541,vr_world,41998,131635.009736958,0.015434458,1,0.137432000,-0.086544500,-0.468006000,0.005497344,0.022356978,-0.996170988,0.084340431,1,0.268762984,-0.222899894,-0.492148103,0.005497344,0.022356978,-0.996170988,0.084340431,42362,131635.009736958,0.015434458,1,-0.038757300,-0.419896000,-0.465145000,0.072538711,-0.904895212,0.413469746,0.070324670,1,0.142345697,-0.422747157,-0.522849136,0.072538711,-0.904895212,0.413469746,0.070324670,0.000000000,0.000000000
0.045955958,131635.037597708,vr_world,41999,131635.028000875,0.009598875,1,0.137424000,-0.086535500,-0.468082000,0.005473360,0.022359481,-0.996174637,0.084298213,1,0.268757186,-0.222887690,-0.492229779,0.005473360,0.022359481,-0.996174637,0.084298213,42363,131635.028000875,0.009598875,1,-0.038757300,-0.419896000,-0.465145000,0.072532927,-0.904896053,0.413467991,0.070330132,1,0.142345038,-0.422746504,-0.522851718,0.072532927,-0.904896053,0.413467991,0.070330132,0.000000000,0.000000000
0.058379375,131635.050021125,vr_world,42000,131635.047121166,0.002902000,1,0.137466000,-0.086523500,-0.468104000,0.005455615,0.022343933,-0.996166183,0.084403321,1,0.268796633,-0.222884245,-0.492217515,0.005455615,0.022343933,-0.996166183,0.084403321,42364,131635.047121166,0.002902000,1,-0.038757300,-0.419896000,-0.465145000,0.072537860,-0.904894100,0.413472734,0.070322297,1,0.142345872,-0.422748597,-0.522848581,0.072537860,-0.904894100,0.413472734,0.070322297,0.000000000,0.000000000
0.070788708,131635.062430458,vr_world,42000,131635.047121166,0.015309834,1,0.137466000,-0.086523500,-0.468104000,0.005455615,0.022343933,-0.996166183,0.084403321,1,0.268796633,-0.222884245,-0.492217515,0.005455615,0.022343933,-0.996166183,0.084403321,42364,131635.047121166,0.015309834,1,-0.038757300,-0.419896000,-0.465145000,0.072537860,-0.904894100,0.413472734,0.070322297,1,0.142345872,-0.422748597,-0.522848581,0.072537860,-0.904894100,0.413472734,0.070322297,0.000000000,0.000000000
0.083210041,131635.074851791,vr_world,42001,131635.066430625,0.008422791,1,0.137493000,-0.086521600,-0.468127000,0.005507746,0.022344163,-0.996168393,0.084373784,1,0.268819916,-0.222882134,-0.492262076,0.005507746,0.022344163,-0.996168393,0.084373784,42365,131635.066430625,0.008422791,1,-0.038757300,-0.419896000,-0.465145000,0.072535190,-0.904894633,0.413471644,0.070324601,1,0.142345586,-0.422748074,-0.522849695,0.072535190,-0.904894633,0.413471644,0.070324601,0.000000000,0.000000000
0.093276666,131635.084918416,vr_world,42001,131635.066430625,0.018488166,1,0.137493000,-0.086521600,-0.468127000,0.005507746,0.022344163,-0.996168393,0.084373784,1,0.268819916,-0.222882134,-0.492262076,0.005507746,0.022344163,-0.996168393,0.084373784,42365,131635.066430625,0.018488166,1,-0.038757300,-0.419896000,-0.465145000,0.072535190,-0.904894633,0.413471644,0.070324601,1,0.142345586,-0.422748074,-0.522849695,0.072535190,-0.904894633,0.413471644,0.070324601,0.000000000,0.000000000
0.105648958,131635.097290708,vr_world,42002,131635.085505416,0.011785917,1,0.137466000,-0.086526900,-0.468208000,0.005540988,0.022379355,-0.996179348,0.084232828,1,0.268799533,-0.222872388,-0.492391790,0.005540988,0.022379355,-0.996179348,0.084232828,42366,131635.085505416,0.011785917,1,-0.038757300,-0.419896000,-0.465145000,0.072536487,-0.904895318,0.413469668,0.070326066,1,0.142345518,-0.422747158,-0.522849923,0.072536487,-0.904895318,0.413469668,0.070326066,0.000000000,0.000000000
0.118057750,131635.109699500,vr_world,42003,131635.103671250,0.006028791,1,0.137432000,-0.086522600,-0.468315000,0.005390366,0.022436469,-0.996174868,0.084280372,1,0.268791647,-0.222851863,-0.492448398,0.005390366,0.022436469,-0.996174868,0.084280372,42367,131635.103671250,0.006028791,1,-0.038757300,-0.419896000,-0.465145000,0.072537393,-0.904894758,0.413470896,0.070325120,1,0.142345760,-0.422747637,-0.522849504,0.072537393,-0.904894758,0.413470896,0.070325120,0.000000000,0.000000000
