t,host_monotonic_s,coordinate_frame,right_frame_counter,right_receive_monotonic_s,right_age_s,right_controller_valid,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_quat_w,right_controller_quat_x,right_controller_quat_y,right_controller_quat_z,right_tcp_valid,right_tcp_pos_x,right_tcp_pos_y,right_tcp_pos_z,right_tcp_quat_w,right_tcp_quat_x,right_tcp_quat_y,right_tcp_quat_z,left_frame_counter,left_receive_monotonic_s,left_age_s,left_controller_valid,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_quat_w,left_controller_quat_x,left_controller_quat_y,left_controller_quat_z,left_tcp_valid,left_tcp_pos_x,left_tcp_pos_y,left_tcp_pos_z,left_tcp_quat_w,left_tcp_quat_x,left_tcp_quat_y,left_tcp_quat_z,right_gripper_angle_rad,left_gripper_angle_rad
0.012054042,131226.709189250,vr_world,22197,131226.700266291,0.008923792,1,-0.185148000,-0.315415000,-0.336737000,0.087778826,0.012243414,-0.994912629,0.047894011,1,-0.065003781,-0.453408634,-0.391019012,0.087778826,0.012243414,-0.994912629,0.047894011,22547,131226.700266291,0.008923792,1,0.092243400,-0.210666000,-0.385921000,0.035231685,-0.347473041,0.937021607,0.003423720,1,0.082050417,-0.393721101,-0.436152093,0.035231685,-0.347473041,0.937021607,0.003423720,0.000000000,0.000000000
0.024428583,131226.721563791,vr_world,22198,131226.714099041,0.007465292,1,-0.185187000,-0.315557000,-0.336837000,0.087874613,0.012187214,-0.994903391,0.047924603,1,-0.065068794,-0.453568531,-0.391131268,0.087874613,0.012187214,-0.994903391,0.047924603,22548,131226.714099041,0.007465292,1,0.092151800,-0.210825000,-0.386138000,0.035797169,-0.347213454,0.937095816,0.003579250,1,0.081909052,-0.393839283,-0.436507259,0.035797169,-0.347213454,0.937095816,0.003579250,0.000000000,0.000000000
0.036839625,131226.733974833,vr_world,22199,131226.729901750,0.004074625,1,-0.185199000,-0.315698000,-0.336980000,0.087998524,0.011906269,-0.994900033,0.047837486,1,-0.065173769,-0.453773468,-0.391317611,0.087998524,0.011906269,-0.994900033,0.047837486,22549,131226.729901750,0.004074625,1,0.092114300,-0.211069000,-0.386429000,0.036513438,-0.346958212,0.937160882,0.004031004,1,0.081832343,-0.394009525,-0.437057954,0.036513438,-0.346958212,0.937160882,0.004031004,0.000000000,0.000000000
0.049243625,131226.746378833,vr_world,22200,131226.745403833,0.000978042,1,-0.185209000,-0.315868000,-0.337183000,0.087933213,0.011600523,-0.994914207,0.047737811,1,-0.065260790,-0.454009783,-0.391521864,0.087933213,0.011600523,-0.994914207,0.047737811,22550,131226.745403833,0.000978042,1,0.092083000,-0.211269000,-0.386762000,0.037226287,-0.346854434,0.937169205,0.004481769,1,0.081821282,-0.394139336,-0.437647822,0.037226287,-0.346854434,0.937169205,0.004481769,0.000000000,0.000000000
0.061629042,131226.758764250,vr_world,22200,131226.745403833,0.013360958,1,-0.185209000,-0.315868000,-0.337183000,0.087933213,0.011600523,-0.994914207,0.047737811,1,-0.065260790,-0.454009783,-0.391521864,0.087933213,0.011600523,-0.994914207,0.047737811,22550,131226.745403833,0.013360958,1,0.092083000,-0.211269000,-0.386762000,0.037226287,-0.346854434,0.937169205,0.004481769,1,0.081821282,-0.394139336,-0.437647822,0.037226287,-0.346854434,0.937169205,0.004481769,0.000000000,0.000000000
0.074007333,131226.771142541,vr_world,22201,131226.759257916,0.011886750,1,-0.185240000,-0.316180000,-0.337484000,0.087842571,0.011517946,-0.994955980,0.047049087,1,-0.065320351,-0.454281057,-0.391989397,0.087842571,0.011517946,-0.994955980,0.047049087,22551,131226.759257916,0.011886750,1,0.092056500,-0.211398000,-0.387117000,0.037780095,-0.346890673,0.937131609,0.004885946,1,0.081855401,-0.394211391,-0.438218963,0.037780095,-0.346890673,0.937131609,0.004885946,0.000000000,0.000000000
0.086349625,131226.783484833,vr_world,22202,131226.773128083,0.010357583,1,-0.185256000,-0.316571000,-0.337851000,0.087691513,0.011519492,-0.995022291,0.045914479,1,-0.065346060,-0.454570029,-0.392635170,0.087691513,0.011519492,-0.995022291,0.045914479,22552,131226.773128083,0.010357583,1,0.092026700,-0.211495000,-0.387469000,0.037961169,-0.346957149,0.937097851,0.005225336,1,0.081862450,-0.394271466,-0.438710411,0.037961169,-0.346957149,0.937097851,0.005225336,0.000000000,0.000000000
0.098733417,131226.795868625,vr_world,22203,131226.786426416,0.009442875,1,-0.185259000,-0.316901000,-0.338204000,0.087694564,0.011357498,-0.995096062,0.044322663,1,-0.065433178,-0.454799374,-0.393423950,0.087694564,0.011357498,-0.995096062,0.044322663,22553,131226.786426416,0.009442875,1,0.091999600,-0.211636000,-0.387878000,0.038049050,-0.347011196,0.937071387,0.005719682,1,0.081854911,-0.394363489,-0.439297393,0.038049050,-0.347011196,0.937071387,0.005719682,0.000000000,0.000000000
0.111148208,131226.808283416,vr_world,22204,131226.801325625,0.006959625,1,-0.185290000,-0.317121000,-0.338709000,0.087712791,0.010931548,-0.995176768,0.042546076,1,-0.065625809,-0.454966330,-0.394410065,0.087712791,0.010931548,-0.995176768,0.042546076,22554,131226.801325625,0.006959625,1,0.091971300,-0.211831000,-0.388388000,0.038214014,-0.347065564,0.937039350,0.006514643,1,0.081847650,-0.394477796,-0.440097362,0.038214014,-0.347065564,0.937039350,0.006514643,0.000000000,0.000000000
0.123558625,131226.820693833,vr_world,22205,131226.817062333,0.003633292,1,-0.185386000,-0.317243000,-0.339414000,0.087235849,0.010533405,-0.995264506,0.041563421,1,-0.065794994,-0.455092890,-0.395260569,0.087235849,0.010533405,-0.995264506,0.041563421,22555,131226.817062333,0.003633292,1,0.091909000,-0.212041000,-0.389109000,0.038354348,-0.347420388,0.936893831,0.007613670,1,0.081915051,-0.394585702,-0.441202780,0.038354348,-0.347420388,0.936893831,0.007613670,0.000000000,0.000000000
0.135967458,131226.833102666,vr_world,22206,131226.831843750,0.001261291,1,-0.185482000,-0.317395000,-0.340240000,0.086471776,0.010330389,-0.995359260,0.040937246,1,-0.065867204,-0.455229993,-0.396072523,0.086471776,0.010330389,-0.995359260,0.040937246,22556,131226.831843750,0.001261291,1,0.091866000,-0.212146000,-0.389843000,0.038381616,-0.347820002,0.936738957,0.008259826,1,0.082017509,-0.394636989,-0.442152282,0.038381616,-0.347820002,0.936738957,0.008259826,0.000000000,0.000000000
0.148361250,131226.845496458,vr_world,22206,131226.831843750,0.013653333,1,-0.185482000,-0.317395000,-0.340240000,0.086471776,0.010330389,-0.995359260,0.040937246,1,-0.065867204,-0.455229993,-0.396072523,0.086471776,0.010330389,-0.995359260,0.040937246,22556,131226.831843750,0.013653333,1,0.091866000,-0.212146000,-0.389843000,0.038381616,-0.347820002,0.936738957,0.008259826,1,0.082017509,-0.394636989,-0.442152282,0.038381616,-0.347820002,0.936738957,0.008259826,0.000000000,0.000000000
0.160760833,131226.857896041,vr_world,22207,131226.847468541,0.010427959,1,-0.185511000,-0.317600000,-0.341149000,0.085580640,0.010416515,-0.995452885,0.040509298,1,-0.065774004,-0.455365014,-0.396892191,0.085580640,0.010416515,-0.995452885,0.040509298,22557,131226.847468541,0.010427959,1,0.091874600,-0.212262000,-0.390729000,0.038358512,-0.347806666,0.936743823,0.008376063,1,0.082016126,-0.394742259,-0.443074050,0.038358512,-0.347806666,0.936743823,0.008376063,0.000000000,0.000000000
0.171732667,131226.868867875,vr_world,22208,131226.861867416,0.007002542,1,-0.185447000,-0.317813000,-0.341953000,0.085241384,0.010613486,-0.995502403,0.039952793,1,-0.065628838,-0.455474925,-0.397776281,0.085241384,0.010613486,-0.995502403,0.039952793,22558,131226.861867416,0.007002542,1,0.091861800,-0.212432000,-0.391580000,0.038551394,-0.347750266,0.936753455,0.008746806,1,0.081992752,-0.394867606,-0.444078037,0.038551394,-0.347750266,0.936753455,0.008746806,0.000000000,0.000000000
0.184124417,131226.881259625,vr_world,22209,131226.876734916,0.004526709,1,-0.185337000,-0.317978000,-0.342708000,0.085643342,0.010609499,-0.995506604,0.038977648,1,-0.065593254,-0.455556404,-0.398895495,0.085643342,0.010609499,-0.995506604,0.038977648,22559,131226.876734916,0.004526709,1,0.091844000,-0.212636000,-0.392557000,0.039145192,-0.347821384,0.936688863,0.010095201,1,0.082033992,-0.394919599,-0.445592024,0.039145192,-0.347821384,0.936688863,0.010095201,0.000000000,0.000000000
0.196523167,131226.893658375,vr_world,22210,131226.891402416,0.002256584,1,-0.185289000,-0.318025000,-0.343728000,0.086311032,0.010295078,-0.995492513,0.037935111,1,-0.065737989,-0.455592747,-0.400350614,0.086311032,0.010295078,-0.995492513,0.037935111,22560,131226.891402416,0.002256584,1,0.091906300,-0.212774000,-0.393458000,0.039523153,-0.347971138,0.936603335,0.011322584,1,0.082167187,-0.394925782,-0.446956762,0.039523153,-0.347971138,0.936603335,0.011322584,0.000000000,0.000000000
