t,host_monotonic_s,coordinate_frame,right_frame_counter,right_receive_monotonic_s,right_age_s,right_controller_valid,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_quat_w,right_controller_quat_x,right_controller_quat_y,right_controller_quat_z,right_tcp_valid,right_tcp_pos_x,right_tcp_pos_y,right_tcp_pos_z,right_tcp_quat_w,right_tcp_quat_x,right_tcp_quat_y,right_tcp_quat_z,left_frame_counter,left_receive_monotonic_s,left_age_s,left_controller_valid,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_quat_w,left_controller_quat_x,left_controller_quat_y,left_controller_quat_z,left_tcp_valid,left_tcp_pos_x,left_tcp_pos_y,left_tcp_pos_z,left_tcp_quat_w,left_tcp_quat_x,left_tcp_quat_y,left_tcp_quat_z,right_gripper_angle_rad,left_gripper_angle_rad
0.009907584,132019.149520375,vr_world,61592,132019.141070625,0.008450125,1,0.177299000,-0.075862900,-0.335896000,0.039913422,0.728560553,-0.683281792,-0.027063497,1,0.300167274,0.057078684,-0.396339161,0.039913422,0.728560553,-0.683281792,-0.027063497,61956,132019.141070625,0.008450125,1,-0.141247000,0.249805000,-0.371889000,0.029633342,-0.944534740,0.327039010,-0.004634265,1,0.043488487,0.274572279,-0.409246953,0.029633342,-0.944534740,0.327039010,-0.004634265,0.000000000,0.000000000
0.022281334,132019.161894125,vr_world,61593,132019.159580625,0.002314000,1,0.184063000,-0.082065600,-0.331938000,0.045234379,0.719032153,-0.693049277,-0.025086116,1,0.310187448,0.046816099,-0.394432603,0.045234379,0.719032153,-0.693049277,-0.025086116,61957,132019.159580625,0.002314000,1,-0.141388000,0.250568000,-0.370031000,0.025153369,-0.943857628,0.329302303,-0.007751121,1,0.043572053,0.274032620,-0.407117604,0.025153369,-0.943857628,0.329302303,-0.007751121,0.000000000,0.000000000
0.034709000,132019.174321791,vr_world,61593,132019.159580625,0.014741583,1,0.184063000,-0.082065600,-0.331938000,0.045234379,0.719032153,-0.693049277,-0.025086116,1,0.310187448,0.046816099,-0.394432603,0.045234379,0.719032153,-0.693049277,-0.025086116,61957,132019.159580625,0.014741583,1,-0.141388000,0.250568000,-0.370031000,0.025153369,-0.943857628,0.329302303,-0.007751121,1,0.043572053,0.274032620,-0.407117604,0.025153369,-0.943857628,0.329302303,-0.007751121,0.000000000,0.000000000
0.045663417,132019.185276208,vr_world,61594,132019.179044291,0.006232459,1,0.187923000,-0.085849800,-0.330378000,0.046264991,0.714861259,-0.697354541,-0.023012507,1,0.315657811,0.041232217,-0.393286023,0.046264991,0.714861259,-0.697354541,-0.023012507,61958,132019.179044291,0.006232459,1,-0.141586000,0.250996000,-0.369047000,0.021063449,-0.943333196,0.331011363,-0.010501873,1,0.043550119,0.273411943,-0.405903045,0.021063449,-0.943333196,0.331011363,-0.010501873,0.000000000,0.000000000
0.056859125,132019.196471916,vr_world,61594,132019.179044291,0.017428042,1,0.187923000,-0.085849800,-0.330378000,0.046264991,0.714861259,-0.697354541,-0.023012507,1,0.315657811,0.041232217,-0.393286023,0.046264991,0.714861259,-0.697354541,-0.023012507,61958,132019.179044291,0.017428042,1,-0.141586000,0.250996000,-0.369047000,0.021063449,-0.943333196,0.331011363,-0.010501873,1,0.043550119,0.273411943,-0.405903045,0.021063449,-0.943333196,0.331011363,-0.010501873,0.000000000,0.000000000
0.068573042,132019.208185833,vr_world,61595,132019.197647125,0.010539208,1,0.195599000,-0.092762000,-0.326891000,0.049773998,0.705888504,-0.706150718,-0.024395319,1,0.326062905,0.030809937,-0.391176194,0.049773998,0.705888504,-0.706150718,-0.024395319,61959,132019.197647125,0.010539208,1,-0.141941000,0.252064000,-0.367689000,0.015577490,-0.942115834,0.334515127,-0.016574873,1,0.043641748,0.272519300,-0.403422377,0.015577490,-0.942115834,0.334515127,-0.016574873,0.000000000,0.000000000
0.080774500,132019.220387291,vr_world,61596,132019.216101125,0.004286708,1,0.200283000,-0.097118400,-0.324854000,0.052301725,0.701858714,-0.709772235,-0.029702687,1,0.331418933,0.025204362,-0.390153087,0.052301725,0.701858714,-0.709772235,-0.029702687,61960,132019.216101125,0.004286708,1,-0.142017000,0.252411000,-0.367326000,0.013641465,-0.941627156,0.335789734,-0.019936473,1,0.043801151,0.272121888,-0.402245325,0.013641465,-0.941627156,0.335789734,-0.019936473,0.000000000,0.000000000
0.092448917,132019.232061708,vr_world,61596,132019.216101125,0.015960916,1,0.200283000,-0.097118400,-0.324854000,0.052301725,0.701858714,-0.709772235,-0.029702687,1,0.331418933,0.025204362,-0.390153087,0.052301725,0.701858714,-0.709772235,-0.029702687,61960,132019.216101125,0.015960916,1,-0.142017000,0.252411000,-0.367326000,0.013641465,-0.941627156,0.335789734,-0.019936473,1,0.043801151,0.272121888,-0.402245325,0.013641465,-0.941627156,0.335789734,-0.019936473,0.000000000,0.000000000
0.104854167,132019.244466958,vr_world,61597,132019.234438791,0.010028792,1,0.204742000,-0.101395000,-0.323251000,0.054407029,0.696731207,-0.714354462,-0.036099904,1,0.336835293,0.019401094,-0.389455888,0.054407029,0.696731207,-0.714354462,-0.036099904,61961,132019.234438791,0.010028792,1,-0.142017000,0.252689000,-0.366900000,0.011953492,-0.941179291,0.336894254,-0.023257649,1,0.044026550,0.271743186,-0.400973227,0.011953492,-0.941179291,0.336894254,-0.023257649,0.000000000,0.000000000
0.117240417,132019.256853208,vr_world,61598,132019.252821916,0.004031584,1,0.209576000,-0.105724000,-0.321588000,0.057678646,0.691846749,-0.718501700,-0.042149210,1,0.342381632,0.013543919,-0.389125091,0.057678646,0.691846749,-0.718501700,-0.042149210,61962,132019.252821916,0.004031584,1,-0.141888000,0.252960000,-0.366320000,0.010582947,-0.940657875,0.338244748,-0.025323002,1,0.044311662,0.271322785,-0.399915849,0.010582947,-0.940657875,0.338244748,-0.025323002,0.000000000,0.000000000
0.129189125,132019.268801916,vr_world,61598,132019.252821916,0.015980459,1,0.209576000,-0.105724000,-0.321588000,0.057678646,0.691846749,-0.718501700,-0.042149210,1,0.342381632,0.013543919,-0.389125091,0.057678646,0.691846749,-0.718501700,-0.042149210,61962,132019.252821916,0.015980459,1,-0.141888000,0.252960000,-0.366320000,0.010582947,-0.940657875,0.338244748,-0.025323002,1,0.044311662,0.271322785,-0.399915849,0.010582947,-0.940657875,0.338244748,-0.025323002,0.000000000,0.000000000
0.139720875,132019.279333666,vr_world,61599,132019.271382291,0.007951959,1,0.218792000,-0.114559000,-0.318634000,0.063528456,0.682958052,-0.725701563,-0.053755711,1,0.352702446,0.002041754,-0.388603595,0.063528456,0.682958052,-0.725701563,-0.053755711,61963,132019.271382291,0.007951959,1,-0.141613000,0.253323000,-0.365225000,0.008136100,-0.939644357,0.340873389,-0.028418652,1,0.044828435,0.270383593,-0.398160831,0.008136100,-0.939644357,0.340873389,-0.028418652,0.000000000,0.000000000
0.150025667,132019.289638458,vr_world,61599,132019.271382291,0.018256542,1,0.218792000,-0.114559000,-0.318634000,0.063528456,0.682958052,-0.725701563,-0.053755711,1,0.352702446,0.002041754,-0.388603595,0.063528456,0.682958052,-0.725701563,-0.053755711,61963,132019.271382291,0.018256542,1,-0.141613000,0.253323000,-0.365225000,0.008136100,-0.939644357,0.340873389,-0.028418652,1,0.044828435,0.270383593,-0.398160831,0.008136100,-0.939644357,0.340873389,-0.028418652,0.000000000,0.000000000
0.160530709,132019.300143500,vr_world,61600,132019.291485916,0.008658084,1,0.224907000,-0.119827000,-0.317707000,0.063044617,0.681022741,-0.726839319,-0.062753542,1,0.358650710,-0.003035796,-0.387677646,0.063044617,0.681022741,-0.726839319,-0.062753542,61964,132019.291485916,0.008658084,1,-0.141266000,0.253181000,-0.364625000,0.007754697,-0.939363848,0.341701269,-0.027850822,1,0.045161318,0.269904460,-0.397812492,0.007754697,-0.939363848,0.341701269,-0.027850822,0.000000000,0.000000000
0.172930625,132019.312543416,vr_world,61601,132019.309656375,0.002887500,1,0.235554000,-0.128693000,-0.314566000,0.070807840,0.672650774,-0.732644212,-0.075892320,1,0.369587492,-0.014199213,-0.387707245,0.070807840,0.672650774,-0.732644212,-0.075892320,61965,132019.309656375,0.002887500,1,-0.140686000,0.253101000,-0.363573000,0.006832265,-0.938535442,0.343974234,-0.028040524,1,0.045812005,0.268855224,-0.396837542,0.006832265,-0.938535442,0.343974234,-0.028040524,0.000000000,0.000000000
0.185271167,132019.324883958,vr_world,61601,132019.309656375,0.015227875,1,0.235554000,-0.128693000,-0.314566000,0.070807840,0.672650774,-0.732644212,-0.075892320,1,0.369587492,-0.014199213,-0.387707245,0.070807840,0.672650774,-0.732644212,-0.075892320,61965,132019.309656375,0.015227875,1,-0.140686000,0.253101000,-0.363573000,0.006832265,-0.938535442,0.343974234,-0.028040524,1,0.045812005,0.268855224,-0.396837542,0.006832265,-0.938535442,0.343974234,-0.028040524,0.000000000,0.000000000
