trajectory,family,take,mode,search_status,source_frames,left_accept_frames,right_accept_frames,both_accept_frames,left_accept_coverage,right_accept_coverage,both_accept_coverage,source_valid_pair_frames,invalid_source_frames,both_accept_coverage_valid_source,collision_frames,edge_collision_frames,topology_invalid_frames,longest_hold_frames,longest_hold_ratio,maximum_position_error_mm,maximum_orientation_error_deg,maximum_accepted_position_error_mm,maximum_accepted_orientation_error_deg,maximum_velocity_rad_s,maximum_acceleration_rad_s2,limits_passed
8-11/AluminumFoilPouch_BoxPackaging/160555,8-11/AluminumFoilPouch_BoxPackaging,160555,baseline,complete,4925,103,130,103,0.020913705583756347,0.026395939086294416,0.020913705583756347,4925,0,0.020913705583756347,0,0,0,4520,0.917766497461929,557.1779779719393,119.41138069988982,0.9994641671424702,0.49999999999951883,27.158423885056905,1203.0478607657276,False
8-11/AluminumFoilPouch_BoxPackaging/160555,8-11/AluminumFoilPouch_BoxPackaging,160555,upright_table,complete,4925,2411,2412,2400,0.4895431472081218,0.489746192893401,0.4873096446700508,4925,0,0.4873096446700508,0,0,0,1406,0.2854822335025381,403.96176468125077,85.94921492931557,0.9999840861486442,0.49798338915119944,27.9620283610765,1229.344378845819,False
8-11/AluminumFoilPouch_BoxPackaging/160555,8-11/AluminumFoilPouch_BoxPackaging,160555,horizontal_wall,complete,4925,0,0,0,0.0,0.0,0.0,4925,0,0.0,0,0,0,4925,1.0,514.5820711207635,146.66967669549615,,,0.0,0.0,True
8-11/AluminumFoilPouch_BoxPackaging/160555,8-11/AluminumFoilPouch_BoxPackaging,160555,inverted,complete,4925,0,0,0,0.0,0.0,0.0,4925,0,0.0,0,0,0,4925,1.0,982.1737391658174,179.99691489788543,,,0.0,0.0,True
8-11/Fold_Box/160710,8-11/Fold_Box,160710,baseline,complete,2506,1313,1310,1304,0.5239425379090183,0.5227454110135674,0.5203511572226656,2506,0,0.5203511572226656,0,0,0,675,0.2693535514764565,182.11903337539215,80.15392708444517,0.99998353530468,0.4999999999999833,26.8972038120422,1261.522315749345,False
8-11/Fold_Box/160710,8-11/Fold_Box,160710,upright_table,complete,2506,193,191,188,0.07701516360734238,0.0762170790103751,0.07501995211492418,2506,0,0.07501995211492418,0,0,0,1100,0.4389465283320032,471.6650413558759,160.57222971968852,0.9998759393162733,0.4935492973036289,107.77977742165373,4475.040147306489,False
8-11/Fold_Box/160710,8-11/Fold_Box,160710,horizontal_wall,complete,2506,12,11,11,0.004788507581803671,0.004389465283320032,0.004389465283320032,2506,0,0.004389465283320032,0,0,0,2347,0.9365522745411013,632.4403726481912,179.71476429981746,0.9958993513634973,0.03313457815007866,65.0356312273865,2611.2027948877453,False
8-11/Fold_Box/160710,8-11/Fold_Box,160710,inverted,complete,2506,0,0,0,0.0,0.0,0.0,2506,0,0.0,0,0,0,2506,1.0,717.3656017952692,179.99495091079612,,,0.0,0.0,True
8-11/Fold_Box/160754,8-11/Fold_Box,160754,baseline,complete,1964,1038,1036,1035,0.5285132382892057,0.5274949083503055,0.5269857433808554,1964,0,0.5269857433808554,0,0,0,588,0.29938900203665986,153.0653658153203,79.66090463885219,0.9999494911987051,0.4999999999990019,50.49564232855411,4901.2376013023995,False
8-11/Fold_Box/160754,8-11/Fold_Box,160754,upright_table,complete,1964,343,349,341,0.17464358452138493,0.17769857433808553,0.17362525458248473,1964,0,0.17362525458248473,0,0,0,1515,0.7713849287169042,207.80712353810057,101.17384543866353,0.9998101698876806,0.4995223213261396,46.53902457469654,3781.4061149870527,False
